西暦,和暦,地域コード,地域,卸売・小売業計_事業所数(事業所),卸売・小売業計_従業者数(人),卸売・小売業計_年間商品販売額(百万円),卸売業_事業所数(事業所),卸売業_従業者数(人),卸売業_年間商品販売額(百万円),卸売業_商品手持額(百万円),各種商品卸売業_事業所数(事業所),各種商品卸売業_従業者数(人),各種商品卸売業_年間商品販売額(百万円),各種商品卸売業_商品手持額(百万円),繊維・衣服等卸売業_事業所数(事業所),繊維・衣服等卸売業_従業者数(人),繊維・衣服等卸売業_年間商品販売額(百万円),繊維・衣服等卸売業_商品手持額(百万円),飲食料品卸売業_事業所数(事業所),飲食料品卸売業_従業者数(人),飲食料品卸売業_年間商品販売額(百万円),飲食料品卸売業_商品手持額(百万円),建築材料，鉱物・金属材料等卸売業_事業所数(事業所),建築材料，鉱物・金属材料等卸売業_従業者数(人),建築材料，鉱物・金属材料等卸売業_年間商品販売額(百万円),建築材料，鉱物・金属材料等卸売業_商品手持額(百万円),機械器具卸売業_事業所数(事業所),機械器具卸売業_従業者数(人),機械器具卸売業_年間商品販売額(百万円),機械器具卸売業_商品手持額(百万円),その他の卸売業_事業所数(事業所),その他の卸売業_従業者数(人),その他の卸売業_年間商品販売額(百万円),その他の卸売業_商品手持額(百万円),小売業_事業所数(事業所),小売業_従業者数(人),小売業_年間商品販売額(百万円),小売業_商品手持額(百万円),小売業_売場面積(m2),各種商品小売業_事業所数(事業所),各種商品小売業_従業者数(人),各種商品小売業_年間商品販売額(百万円),各種商品小売業_商品手持額(百万円),各種商品小売業_売場面積(m2),織物・衣服・身の回り品小売業_事業所数(事業所),織物・衣服・身の回り品小売業_従業者数(人),織物・衣服・身の回り品小売業_年間商品販売額(百万円),織物・衣服・身の回り品小売業_商品手持額(百万円),織物・衣服・身の回り品小売業_売場面積(m2),飲食料品小売業_事業所数(事業所),飲食料品小売業_従業者数(人),飲食料品小売業_年間商品販売額(百万円),飲食料品小売業_商品手持額(百万円),飲食料品小売業_売場面積(m2),機械器具小売業_事業所数(事業所),機械器具小売業_従業者数(人),機械器具小売業_年間商品販売額(百万円),機械器具小売業_商品手持額(百万円),機械器具小売業_売場面積(m2),その他小売業_事業所数(事業所),その他小売業_従業者数(人),その他小売業_年間商品販売額(百万円),その他小売業_商品手持額(百万円),その他小売業_売場面積(m2),無店舗小売業_事業所数(事業所),無店舗小売業_従業者数(人),無店舗小売業_年間商品販売額(百万円),無店舗小売業_商品手持額(百万円),無店舗小売業_売場面積(m2)
2014年,平成26年,26109,京都市伏見区,1841,15395,596295,521,5011,389654,-,2,8,X,-,32,230,16778,-,76,778,59746,-,110,971,67564,-,168,1664,144926,-,133,1360,X,-,1320,10384,206641,-,225474,6,872,17860,-,38258,157,675,8719,-,22162,470,4040,63108,-,68601,167,1152,43992,-,30332,475,3237,57150,-,66121,45,408,15812,-,-
2014年,平成26年,26201,福知山市,821,5922,188601,228,1688,106443,-,3,61,10071,-,5,20,475,-,35,341,22334,-,53,327,21425,-,85,625,29326,-,47,314,22812,-,593,4234,82157,-,104260,6,379,8920,-,27758,88,369,5547,-,16422,155,1199,19034,-,18701,121,733,20700,-,11958,204,1158,22422,-,29421,19,396,5534,-,-
2014年,平成26年,26202,舞鶴市,801,5012,132922,169,1163,57827,-,1,13,X,-,5,20,196,-,46,341,11524,-,48,240,11400,-,44,382,15384,-,25,167,X,-,632,3849,75095,-,94789,2,226,X,-,X,104,314,4056,-,12003,172,1541,25339,-,35149,95,601,17329,-,13304,242,1081,X,-,X,17,86,1040,-,-
2014年,平成26年,26203,綾部市,322,2002,55131,50,262,19728,-,-,-,-,-,4,13,254,-,15,78,6971,-,15,90,10126,-,6,37,1348,-,10,44,1030,-,272,1740,35403,-,37183,2,15,X,-,X,37,113,1233,-,4556,78,660,10283,-,12777,41,172,3105,-,2299,106,652,X,-,X,8,128,6036,-,-
2014年,平成26年,26204,宇治市,981,8730,227054,162,1321,107821,-,-,-,-,-,13,76,2690,-,41,454,27005,-,32,186,12544,-,41,333,49731,-,35,272,15852,-,819,7409,119232,-,146273,3,680,12256,-,25896,92,385,5223,-,13398,249,3249,36961,-,45270,135,918,25929,-,20621,306,1875,30782,-,41088,34,302,8081,-,-
2014年,平成26年,26205,宮津市,313,1631,27865,62,299,6266,-,-,-,-,-,2,8,X,-,23,111,1750,-,17,93,2556,-,7,25,399,-,13,62,X,-,251,1332,21600,-,31783,1,142,X,-,X,24,58,526,-,2626,64,431,5317,-,8817,31,101,1012,-,1112,122,579,X,-,X,9,21,332,-,-
2014年,平成26年,26206,亀岡市,575,4609,87700,91,498,17141,-,2,12,X,-,10,22,934,-,19,120,2663,-,25,171,6106,-,20,101,4124,-,15,72,X,-,484,4111,70559,-,96862,4,427,7595,-,28261,52,248,3169,-,9610,149,1713,21682,-,20809,77,490,14593,-,10262,185,1086,19851,-,27920,17,147,3670,-,-
2014年,平成26年,26207,城陽市,450,3444,70165,71,378,23167,-,-,-,-,-,9,34,537,-,14,119,5051,-,14,88,5450,-,10,50,3103,-,24,87,9026,-,379,3066,46998,-,65237,3,571,10089,-,19062,58,203,1908,-,6943,109,977,12243,-,10608,64,328,8522,-,6706,135,944,13706,-,21918,10,43,530,-,-
2014年,平成26年,26208,向日市,299,2423,71412,60,334,35654,-,1,3,X,-,5,8,139,-,12,75,5502,-,11,58,3507,-,19,141,8190,-,12,49,X,-,239,2089,35758,-,45426,1,167,X,-,X,25,107,1161,-,4861,76,747,10316,-,9083,29,227,7566,-,5596,92,713,X,-,X,16,128,4004,-,-
2014年,平成26年,26209,長岡京市,408,3147,72477,64,397,24224,-,-,-,-,-,6,24,1393,-,6,63,2252,-,16,136,7554,-,17,71,7594,-,19,103,5431,-,344,2750,48253,-,46894,1,264,X,-,X,37,130,1374,-,4124,111,1211,16025,-,16522,51,246,6201,-,5319,128,771,X,-,X,16,128,4164,-,-
2014年,平成26年,26210,八幡市,391,3698,169993,103,838,103713,-,1,12,X,-,5,17,374,-,20,361,77672,-,36,201,11918,-,22,146,6708,-,19,101,X,-,288,2860,66280,-,87009,1,247,X,-,X,36,242,2636,-,8751,82,987,11777,-,12419,55,364,16370,-,12455,98,933,X,-,X,16,87,2075,-,-
2014年,平成26年,26211,京田辺市,278,2784,59412,46,221,21378,-,-,-,-,-,3,9,X,-,10,51,10119,-,10,42,3782,-,8,37,2361,-,15,82,X,-,232,2563,38034,-,53543,1,350,X,-,X,20,75,643,-,2373,68,1068,12713,-,15345,36,230,5687,-,6581,100,795,X,-,X,7,45,X,-,-
2014年,平成26年,26212,京丹後市,696,3300,67633,114,528,17196,-,-,-,-,-,23,61,2100,-,25,118,3090,-,25,132,4891,-,25,155,6321,-,16,62,793,-,582,2772,50438,-,67599,2,131,X,-,X,79,230,2301,-,8541,160,854,15839,-,21003,104,554,11692,-,6023,201,866,X,-,X,36,137,2564,-,-
2014年,平成26年,26213,南丹市,271,1267,28641,29,116,11380,-,-,-,-,-,-,-,-,-,10,41,5463,-,8,36,2011,-,5,27,1741,-,6,12,2165,-,242,1151,17261,-,20124,2,8,X,-,X,27,82,675,-,3819,89,573,7545,-,8827,28,90,1807,-,1619,94,393,X,-,X,2,5,X,-,-
2014年,平成26年,26214,木津川市,379,3152,62986,48,313,12556,-,1,2,X,-,3,51,806,-,12,98,2947,-,14,83,5855,-,8,48,1840,-,10,31,X,-,331,2839,50430,-,74568,3,578,12728,-,25238,61,353,4324,-,11234,94,855,9847,-,10886,42,274,7807,-,3846,118,740,15182,-,23364,13,39,544,-,-
2014年,平成26年,26303,乙訓郡大山崎町,73,435,14288,17,99,8090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,336,6198,-,4005,1,3,X,-,X,5,12,127,-,380,24,212,2002,-,2787,10,21,180,-,561,15,87,X,-,X,1,1,X,-,-
2014年,平成26年,26322,久世郡久御山町,240,2975,154877,79,1033,92733,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161,1942,62144,-,43258,2,349,X,-,X,34,309,6472,-,9556,26,364,4784,-,4301,40,495,27204,-,4599,52,372,X,-,X,7,53,940,-,-
2014年,平成26年,26343,綴喜郡井手町,55,209,1653,7,32,425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,177,1228,-,2610,-,-,-,-,-,5,6,20,-,168,20,85,516,-,1593,1,2,X,-,X,20,82,678,-,X,2,2,X,-,-
2014年,平成26年,26344,綴喜郡宇治田原町,98,766,22733,21,200,6774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,566,15959,-,7654,-,-,-,-,-,5,12,63,-,789,38,396,13481,-,3951,7,28,284,-,461,15,91,1344,-,2453,12,39,788,-,-
2014年,平成26年,26364,相楽郡笠置町,18,49,460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,49,460,-,572,-,-,-,-,-,1,1,X,-,X,7,15,74,-,373,2,4,X,-,X,8,29,309,-,99,-,-,-,-,-
2014年,平成26年,26365,相楽郡和束町,26,133,1542,3,21,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,112,X,-,1612,-,-,-,-,-,2,3,X,-,X,5,23,212,-,177,5,23,225,-,1066,9,54,483,-,X,2,9,X,-,-
2014年,平成26年,26366,相楽郡精華町,161,1526,24072,25,97,1875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136,1429,22197,-,36032,1,158,X,-,X,20,100,977,-,4882,44,416,4180,-,4841,13,43,511,-,431,50,548,X,-,X,8,164,4452,-,-
2014年,平成26年,26367,相楽郡南山城村,12,83,249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,83,249,-,407,-,-,-,-,-,1,1,X,-,X,6,67,73,-,286,1,3,X,-,-,3,8,118,-,X,1,4,X,-,-
2014年,平成26年,26407,船井郡京丹波町,131,689,11452,20,86,2121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,603,9331,-,9211,-,-,-,-,-,9,21,82,-,655,33,287,3304,-,3222,15,56,396,-,313,53,237,X,-,5021,1,2,X,-,-
2014年,平成26年,26463,与謝郡伊根町,31,100,727,2,31,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,69,X,-,538,-,-,-,-,-,2,2,X,-,X,8,18,44,-,183,3,6,74,-,78,14,39,328,-,X,2,4,X,-,-
2014年,平成26年,26465,与謝郡与謝野町,272,1274,29602,28,137,2708,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,244,1137,26894,-,30362,-,-,-,-,-,41,130,1363,-,4859,57,354,6196,-,8181,41,175,3607,-,4493,91,448,15335,-,12829,14,30,394,-,-
