観察場所,環境区分,経度,緯度,目撃年月日,成獣,幼獣,その他（匹）,目撃時の状況,個体の状況,その後の処置,自治体コード,市町村名
与謝野町与謝,畑,135.0883333,35.46472222,2016/7/21,,,1,民家裏の畑でスイカがクマによる被害を受けた。,,,26465,与謝野町
綾部市西方町,集落内,135.2105194,35.38788889,2016/7/22,1,,,西方町集落内の住宅庭で目撃,,,26203,綾部市
京丹後市久美浜町平田,果樹園,134.9413889,35.62638889,2016/7/22,,,1,果樹園のナシが被害を受けた。,,,26212,京丹後市
与謝野町弓木,集落内,135.1355556,35.55027778,2016/7/22,,1,,岩滝クボタ付近を川方向へ移動していくクマを目撃した。,,,26465,与謝野町
京都市右京区京北細野町,スギ林,135.6642861,35.136975,2016/7/22,1,,,有害捕獲檻による誤捕獲,,放獣　メス　１２０ｃｍ　８〜１０歳,26108,京都市
舞鶴市平,集落内,135.38625,35.51476944,2016/7/22,1,,,平、八幡神社参道付近にある木の上でクマが木の実を食べているのを目撃。山へ移動,,,26202,舞鶴市
綾部市篠田町,集落内,135.2729944,35.36794722,2016/7/23,,1,,篠田町集落内の住宅裏で目撃,,,26203,綾部市
宮津市獅子崎,その他,135.205,35.55916667,2016/7/23,,1,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,メス　体重20kg　全長直93cm,計測後捕殺,26205,宮津市
京丹後市久美浜町二俣,路上,134.9786111,35.56055556,2016/7/23,,1,,車で走行中にクマを目撃した。,,,26212,京丹後市
京丹後市久美浜町平田,果樹園,134.9413889,35.62638889,2016/7/23,,,1,果樹園のナシが被害を受けた。,,,26212,京丹後市
京丹後市峰山町内記,集落内,135.0836111,35.63055556,2016/7/23,1,,,庭先にクマがうつぶせで死亡していた。,下半身に複数の傷有り、耳タグ等なし,ゴミとして処分,26212,京丹後市
京丹後市大宮町上常吉,路上,135.0833333,35.5425,2016/7/23,,,1,平地地蔵公園駐車場でクマを目撃した。,,,26212,京丹後市
綾部市五泉町,路上,135.4178528,35.40596667,2016/7/23,,1,,市野瀬バス停の手前の大きなカーブまでの辺り、川から上がってきて府道５１号線を横切り山の方へ,,,26203,綾部市
京丹後市大宮町新宮,その他,135.1572222,35.6,2016/7/23,,,1,現場作業中に１００M程先をクマが移動して行った。,,,26212,京丹後市
京丹後市久美浜町大向,その他,134.9,35.64805556,2016/7/23,1,,,三角島から大向へ移動するクマを目撃した。,,,26212,京丹後市
舞鶴市三浜,集落内,135.39995,35.55858611,2016/7/23,1,,,三浜地区松原神社付近でクマと車両の衝突事故,,,26202,舞鶴市
舞鶴市三浜,集落内,135.3993417,35.55986111,2016/7/23,,1,,三浜地区松原神社付近で目撃。山へ移動と思われる,,,26202,舞鶴市
舞鶴市三浜,集落内,135.3993417,35.55986111,2016/7/23,,1,,三浜地区松原神社付近で目撃。神社内に潜んでいる可能性有り,,,26202,舞鶴市
京丹後市大宮町下常吉,その他,135.0711111,35.55694444,2016/7/24,1,,,有害の捕獲許可を受けているくくりわなにクマが誤捕獲された。,オス　体重38.2kg　全長直71.1cm,計測後放獣,26212,京丹後市
京丹後市大宮町下常吉,その他,135.0658333,35.55722222,2016/7/24,1,,,有害の捕獲許可を受けている箱ワナにクマが誤捕獲された。,オス　体重47.5kg　全長直74.3cm,計測後放獣,26212,京丹後市
京丹後市久美浜町平田,果樹園,134.9413889,35.62638889,2016/7/24,,,1,果樹園のナシが被害を受けた。,,,26212,京丹後市
京丹波町細谷,路上,135.4347222,35.31,2016/7/24,,1,,府道を走行中、子グマを目撃。山へ入っていった。,,,26407,京丹波町
亀岡市曽我部町,水田,135.5458333,35.00333333,2016/7/24,,,1,自動車で走行中、水田の中に黒いクマのようなものが座っているのを目撃した。,,,26206,亀岡市
宮津市小田,集落内,135.1741667,35.50055556,2016/7/24,1,,,家の庭に連日クマが出没している。,,,26205,宮津市
京丹後市久美浜町西本町,路上,134.8883333,35.61333333,2016/7/24,1,,,道路を横断して北へ向かっていくクマを目撃した。,,,26212,京丹後市
舞鶴市多門院,集落内,135.4560611,35.45853889,2016/7/24,,1,,多門院材木ー黒部間の延命地蔵から東へ150ｍ付近で目撃。北側の山へ移動,,,26202,舞鶴市
京丹後市網野町小浜,路上,135.0486111,35.69527778,2016/7/25,1,,,小浜から間人に向かって走行中に左から右へ道路を横断するクマを目撃した。,,,26212,京丹後市
宮津市小田,集落内,135.1741667,35.50055556,2016/7/25,1,,,家の庭に連日クマが出没している。,,,26205,宮津市
宮津市小田,集落内,135.1816667,35.50055556,2016/7/25,,,1,家のタブの木にクマがついている。,,,26205,宮津市
京丹後市久美浜町畑,集落内,134.9316667,35.55166667,2016/7/25,,,1,家の柿の木にやられた。,,,26212,京丹後市
京丹後市久美浜町畑,集落内,134.9316667,35.55166667,2016/7/25,,,1,家の柿の木の枝をクマが折っていた,,,26212,京丹後市
京丹後市久美浜町畑,集落内,134.9316667,35.55166667,2016/7/25,,,1,家の柿の木にクマが登っていた。,,,26212,京丹後市
宮津市石浦,その他,135.2827778,35.49277778,2016/7/25,1,,,山椒太夫跡付近でクマを目撃した。,,,26205,宮津市
舞鶴市平,集落内,135.3862111,35.51437222,2016/7/25,,,,痕跡　タブノキの実が食べられた痕、幹に爪痕、クマ棚、獣道,,現地調査、市から注意喚起,26202,舞鶴市
宮津市小田,集落内,135.1741667,35.50055556,2016/7/26,1,,,家の庭に連日クマが出没している。爆竹で追い払いをした。,,,26205,宮津市
京丹後市久美浜町畑,集落内,134.9313889,35.55138889,2016/7/26,,,1,柿の木がクマによる被害を受けていた。,,,26212,京丹後市
宮津市下石浦,集落内,135.28,35.505,2016/7/26,,,1,柿畑で柿の木が折られ大きな爪痕も発見された。,,,26205,宮津市
京丹後市久美浜町畑,その他,134.9325,35.55083333,2016/7/26,,,1,ビニールハウスで育てているブドウのはいっているハウスのビニールがクマによる被害をうけた。,,,26212,京丹後市
福知山市大江町三河,集落内,135.1887083,35.41165278,2016/7/26,,1,,自宅ガレージ前の犬小屋のエサを食べていた（犬に被害なし）北側の山へ移動,,,26201,福知山市
舞鶴市大波上,集落内,135.4191639,35.50473333,2016/7/26,,,1,大波上北野神社付近で目撃。山に移動,,,26202,舞鶴市
舞鶴市森,天然生林,135.39,35.46061667,2016/7/26,1,,,フクヤ付近、住宅街の裏山を歩いているところを目撃,,,26202,舞鶴市
宮津市小田,その他,135.1791667,35.5,2016/7/27,,1,,有害捕獲許可を得て設置したくくりわなにクマが誤捕獲された。,メス　体長38.6cm　体重4.8kg,計測後放獣,26205,宮津市
京都市左京区大原,河川敷,135.8326444,35.12534722,2016/7/27,1,,,住宅裏の河川敷でクマを目撃,,,26103,京都市
京都市右京区京北,路上,135.6525694,35.186725,2016/7/27,,1,,府道走行中に林道へ移動するクマを目撃,,,26108,京都市
舞鶴市行永,河川敷,135.3973417,35.44724444,2016/7/27,,1,,舞鶴南デイサービスセンターから南方へ300ｍ、天王橋付近で目撃。その後、川を渡り南方の山へ移動,,,26202,舞鶴市
舞鶴市三浜,路上,135.3954389,35.55259167,2016/7/27,1,,,車で走行中、郵便局から300ｍほど南方で目撃。西の山へ移動,,,26202,舞鶴市
福知山市三和町芦渕,河川敷,135.2200611,35.23641111,2016/7/27,1,,,保ヶ瀬橋の下の方へ入っていくのを目撃し追いかけたが見えなくなった,,,26201,福知山市
京丹後市網野町郷,その他,135.0233333,35.64111111,2016/7/28,1,,,有害捕獲許可を得て設置したくくりわなにクマが誤捕獲された。,オス　体長79cm　体重50kg,計測後放獣,26212,京丹後市
与謝野町与謝,畑,135.0883333,35.46472222,2016/7/28,,,1,民家裏の畑でスイカがクマによる被害を受けた。,,,26465,与謝野町
与謝野町明石,集落内,135.1086111,35.51138889,2016/7/28,,,1,草刈り中に旧明石公民館ふきんでクマを目撃した。,,,26465,与謝野町
福知山市大江町公庄,路上,135.1181917,35.373275,2016/7/28,,1,,車で走行中、子グマを目撃。周囲に親がいないか確認したが見つからなかった,,,26201,福知山市
舞鶴市三浜,路上,135.3955444,35.55485278,2016/7/28,,1,,三浜郵便局から峠方面へ200ｍほどのところで目撃。山側へ移動,,,26202,舞鶴市
京丹後市久美浜町畑,畑,134.9313889,35.55138889,2016/7/30,,2,,農作業中に子グマを目撃した。,,,26212,京丹後市
京丹後市網野町木津,路上,134.973135,35.64444444,2016/7/30,1,,,自動車で走行中に目撃した。,,,26212,京丹後市
綾部市田野町,路上,135.2506389,35.28040278,2016/7/30,,,,痕跡　田野町から三和へ通じる道路、公会堂より三和寄りで足跡を発見,,,26203,綾部市
舞鶴市余部上,路上,135.3562333,35.46025278,2016/7/30,,,1,五老岳トンネルを東舞鶴側に抜けた付近で車と接触。五老岳登り口方向へ逃げた,,,26202,舞鶴市
宮津市滝馬,集落内,135.1872222,35.53055556,2016/7/30,1,,,クマを目撃した。,,,26205,宮津市
与謝野町加悦奥（有熊）,集落内,135.0752778,35.50027778,2016/7/31,,,1,民家裏の柿の木でくまによる被害を発見した。,,,26465,与謝野町
京丹後市久美浜町平田,果樹園,134.9418056,35.625,2016/7/31,1,,,果樹園脇で作業中、クマにガオーッと吠えられた。,,,26212,京丹後市
京丹後市久美浜町尉ヶ畑,集落内,134.9805556,35.54555556,2016/7/31,,1,,民家裏の柿の木を折る被害を受けた,,,26212,京丹後市
宮津市小田宿野,路上,135.2405556,35.55916667,2016/7/31,1,,,府道上でクマを目撃した。,,,26205,宮津市
与謝野町加悦奥（有熊）,集落内,135.0752778,35.50027778,2016/8/1,,,1,民家裏の柿の木でくまによる被害を発見した。,,,26465,与謝野町
京丹後市久美浜町畑,集落内,134.9322222,35.55111111,2016/8/1,,2,,ビニールハウスに入ってブドウを荒らしていた。,,,26212,京丹後市
京丹後市久美浜町大向,集落内,134.9,35.64416667,2016/8/1,1,,,玄関のドアを開けたらクマがいた。,,,26212,京丹後市
亀岡市余部町,その他,135.565,35.01138889,2016/8/1,1,1,,林の中にいるクマの親子を目撃。,,,26206,亀岡市
綾部市内久井町,畑,135.2575861,35.38424444,2016/8/1,,,1,東から西へ移動,,,26203,綾部市
福知山市夜久野町直見,路上,134.9710389,35.37395833,2016/8/1,1,,,本光寺横から府道を横断するクマを目撃。畑の柵をよじ登り畑を横断し川を下り、対岸の竹やぶに消えた,,,26201,福知山市
舞鶴市大山,天然生林,135.4523944,35.54913611,2016/8/1,,1,,江正寺から南東方向に100ｍほどのところで目撃。北側の山へ移動,,,26202,舞鶴市
舞鶴市下佐波賀,集落内,135.3621222,35.50547778,2016/8/1,,2,,下佐波賀集会所付近にあるカキの木に子グマが２頭いるところを目撃,,,26202,舞鶴市
舞鶴市登尾,路上,135.4562861,35.51181944,2016/8/1,1,,,登尾リサイクルセンターから南西に100ｍほど下がった辺りで大きなクマが東から西へ移動するのを目撃,,,26202,舞鶴市
舞鶴市城屋,集落内,135.295225,35.42924444,2016/8/1,,1,,雨引神社から西方面へ200ｍほどの住宅裏で目撃。カキの木に登っており、爆竹で追いはらうと西の山へ移動,,,26202,舞鶴市
福知山市下佐々木,天然生林,135.0511167,35.37979444,2016/8/1,1,,,下佐々木威光寺近くの林道沿い有害くくりわなに誤捕獲,1320mm、６９kg、オス、17歳,計測後放獣,26201,福知山市
京丹後市久美浜町尉ヶ畑,集落内,134.9805556,35.54555556,2016/8/1,,,1,民家裏の柿の木が折れていた,,,26212,京丹後市
宮津市小田宿野,その他,135.2597222,35.55666667,2016/8/1,1,1,,海洋つり場の入口で釣り客がクマの親子を目撃した。,,,26205,宮津市
京丹後市弥栄町吉沢,その他,135.0963889,35.63166667,2016/8/2,1,,,小原山に上がる市道を横切っていくクマを目撃した。,,,26212,京丹後市
京都市右京区京北周山町,スギ林,135.6384083,35.14754167,2016/8/2,1,,,有害捕獲檻による誤捕獲,オス　１２８cm　７０．５kg　８〜１０歳,計測後放獣,26108,京都市
京丹後市久美浜町三原,路上,134.981,35.62577778,2016/8/2,,1,,川から山の方向へ道路を横断するクマを目撃した。,,,26212,京丹後市
福知山市大江町高津江,路上,135.2041528,35.419725,2016/8/2,1,,,車で走行中、道路を東から西へ横断するクマを目撃,１ｍ,,26201,福知山市
舞鶴市長谷,路上,135.2524639,35.48304722,2016/8/2,1,,,簡易水道から南へ300ｍほど。散歩中に目撃。目撃者から距離が60ｍほどあったため、音を鳴らすと逃げていった。,１．２ｍ,,26202,舞鶴市
舞鶴市大丹生,天然生林,135.3499806,35.51878056,2016/8/2,1,2,,上林酒店付近の裏山で親子と思われる3頭を目撃。その後、裏山に移動,,,26202,舞鶴市
宮津市中津,集落内,135.2378333,35.55611111,2016/8/2,1,,,集落内で目撃、大きな声を上げたら山方向へ移動。,,,26205,宮津市
宮津市獅子崎,集落内,135.2135,35.55341667,2016/8/2,1,,,住宅団地脇で目撃。バキバキと音を立てて何かを食べている。捕獲申請予定。,,,26205,宮津市
福知山市下小田,路上,135.0720333,35.32730833,2016/8/3,,1,,下小田　山から９号線を横切り、牧側方面へ,,,26201,福知山市
綾部市五泉町,天然生林,135.4219472,35.42314722,2016/8/3,1,,,五泉町水無神田地内のスズバミ林道沿い有害くくりわなに誤捕獲,1282mm、33kg、メス、２歳,計測後放獣,26203,綾部市
舞鶴市上福井,路上,135.2908028,35.44764722,2016/8/3,1,,,四所駅前国道175で目撃。駅側から国道を渡り山側へ移動,,,26202,舞鶴市
舞鶴市上福井,天然生林,135.2950528,35.44585833,2016/8/3,,,1,上福井ローソン向かいの山で目撃。山の中のカキが目的？,,,26202,舞鶴市
京丹後市久美浜町三分,果樹園,134.9494444,35.63722222,2016/8/3,,,1,集落外周のワイヤーメッシュを越え斜面上のナシ園の最上部が被害にあった,,捕獲許可継続,26212,京丹後市
京丹後市久美浜町関,果樹園,134.9538889,35.61805556,2016/8/3,,,1,ナシ園のナシが食害、枝折にあった。,,,26212,京丹後市
舞鶴市西神崎,路上,135.2939361,35.50935833,2016/8/4,1,,,神崎浄水場付近の府道を東から西に移動するところを目撃,,,26202,舞鶴市
綾部市十倉志茂町,路上,135.3238694,35.32216944,2016/8/4,1,,,車で移動中に目撃,,,26203,綾部市
舞鶴市瀬崎,路上,135.3468833,35.53079722,2016/8/4,,,1,瀬崎トンネル付近で通行車両が目撃。火力発電所側から山側へ移動,,,26202,舞鶴市
舞鶴市三浜,路上,135.394625,35.54915833,2016/8/4,,,1,三浜せせらぎ橋付近で子グマが道を横切るのを目撃,,,26202,舞鶴市
宮津市獅子崎,集落内,135.2135,35.55341667,2016/8/4,1,,,住宅団地脇で目撃。バキバキと音を立てて何かを食べている。捕獲申請予定。,,,26205,宮津市
京都市西京区松室,市街地,135.6860972,34.99614444,2016/8/4,,1,,自宅の庭先にいるクマを目撃,,,26111,京都市
京丹後市久美浜町関,果樹園,134.9538889,35.61805556,2016/8/4,,,1,ナシ園のナシが食害、枝折にあった。,,,26212,京丹後市
綾部市小呂町,路上,135.2723111,35.34445,2016/8/5,,1,,小呂町の側溝で目撃。近くで、１週間前にモモの食害、４日にスモモ食害。,,,26203,綾部市
宮津市日置,集落内,135.2184167,35.60230556,2016/8/5,1,,,寺の横の柿の木の枝折り被害。,,,26205,宮津市
京丹後市芋野,路上,135.0890278,35.64775,2016/8/5,1,,,国道で車と衝突し、よろめきながら西へ移動。,,,26212,京丹後市
宮津市下石浦,果樹園,135.28175,35.50427778,2016/8/5,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,メス、63kg、全長直127.5cm、捕獲歴無し,捕殺。その後、焼却処分,26205,宮津市
宮津市喜多,天然林,135.1801389,35.51522222,2016/8/5,1,,,有害捕獲許可を得て設置したくくりわなにクマが誤捕獲された。,オス、76kg、体長79cm、捕獲歴無し,計測後放獣,26205,宮津市
与謝野町幾地,畑,135.0861111,35.53416667,2016/8/5,1,,,有害捕獲許可を得て設置した箱わなにクマが誤捕獲された。,オス、65kg、体長84.7cm、捕獲歴有り（2012/6/3誤捕獲）,計測後放獣,26465,与謝野町
京丹後市久美浜町関,果樹園,134.9538889,35.61805556,2016/8/5,,,1,ナシ園のナシが食害、枝折にあった。,,,26212,京丹後市
舞鶴市上漆原,路上,135.2381833,35.50219444,2016/8/5,,1,,北の山へ移動,０．７ｍ,,26202,舞鶴市
京丹後市久美浜町畑,集落内,134.9316667,35.55272222,2016/8/6,1,,,家の玄関先のブドウを食害,,,26212,京丹後市
与謝野町岩屋,路上,135.0519444,35.52527778,2016/8/6,1,,,走行中の車で目撃。,,,26465,与謝野町
舞鶴市和江,畑,135.2739639,35.47945278,2016/8/6,1,1,,１頭はカキの木に登り、１頭はカキの木の横にいた,,,26202,舞鶴市
京丹後市久美浜町関,果樹園,134.9538889,35.61805556,2016/8/6,,,1,ナシ園のナシが食害、枝折にあった。,,,26212,京丹後市
京丹後市久美浜町畑,集落内,134.9325,35.5525,2016/8/6,,,1,電柵で囲っているハウスのブドウが食害を受けた,,,26212,京丹後市
福知山市報恩寺,天然生林,135.1603611,35.32656944,2016/8/6,1,,,箱わなによる誤捕獲,1175mm、43kg、メス,計測後放獣,26201,福知山市
京丹後市久美浜町関,果樹園,134.9538889,35.61805556,2016/8/7,,,1,ナシ園のナシが食害、枝折にあった。,,,26212,京丹後市
京丹後市久美浜町畑,集落内,134.9325,35.5525,2016/8/7,,,1,電柵で囲っているハウスのブドウが食害を受けた,,,26212,京丹後市
京丹後市久美浜町畑,集落内,134.9316667,35.55272222,2016/8/8,1,,,家の玄関先のブドウを食害,,,26212,京丹後市
京都市右京区京北下黒田,天然林,135.71555,35.201275,2016/8/8,,1,,自宅の裏山でクマを目撃,,,26108,京都市
与謝野町岩屋,畑,135.0621389,35.52545278,2016/8/8,1,,,8月1日〜8日にかけて毎晩スイカを食害。役所のクマ対応に不満が有り報告しなかった。,,,26465,与謝野町
福知山市一ノ宮,路上,135.0516389,35.35984444,2016/8/8,1,,,国道４２６から山に登っていくクマを目撃,,,26201,福知山市
京丹後市久美浜町蒲井,集落内,134.8827778,35.65111111,2016/8/8,1,,,クマを目撃した。,1.5ｍくらい,,26212,京丹後市
京丹後市久美浜町関,果樹園,134.9538889,35.61805556,2016/8/8,,,1,ナシ園のナシが食害、枝折にあった。,,,26212,京丹後市
京丹後市久美浜町畑,集落内,134.9325,35.5525,2016/8/8,,,1,電柵で囲っているハウスのブドウが食害を受けた,,,26212,京丹後市
福知山市大江町上野,天然生林,135.1580778,35.38819444,2016/8/9,1,,,山の方へ行った（北から南へ）,,,26201,福知山市
京丹後市久美浜町関,果樹園,134.9538889,35.61805556,2016/8/9,,,1,ナシ園のナシが食害、枝折にあった。,,,26212,京丹後市
京丹後市久美浜町畑,集落内,134.9325,35.5525,2016/8/9,,,1,電柵で囲っているハウスのブドウが食害を受けた,,,26212,京丹後市
京丹後市網野町俵野,畑,134.9544444,35.64222222,2016/8/9,1,,,有害の捕獲許可をうけているくくりわなにクマが誤捕獲された。,オス　体重35kg　体長70cm,計測後放獣,26212,京丹後市
綾部市坊口町,路上,135.2380417,35.38665,2016/8/10,1,,,散歩中、道路を歩いていたのを目撃。東の山に移動,１．２ｍ,,26203,綾部市
綾部市篠田町,集落内,135.2811889,35.37596111,2016/8/10,,,1,民家の庭先で目撃,,,26203,綾部市
京丹後市久美浜町畑,集落内,134.9325,35.5525,2016/8/10,,,1,電柵で囲っているハウスのブドウが食害を受けた,,,26212,京丹後市
京丹後市久美浜町畑,集落内,134.9322222,35.55194444,2016/8/10,,,1,民家敷地内の柿の木にクマ座を発見した。,,,26212,京丹後市
与謝野町明石,畑,135.115,35.51055556,2016/8/10,,,1,池付近の農地でクマの足跡を発見した。,,,26465,与謝野町
京都市右京区京北柏原町,路上,135.6237861,35.14791111,2016/8/10,1,,,国道を横断するクマを目撃,,,26108,京都市
与謝野町石川（亀山）,果樹園,135.1202778,35.52555556,2016/8/10,,,,モモが被害をうけた,,,26465,与謝野町
舞鶴市杉山,天然生林,135.4615083,35.50847222,2016/8/10,1,,,囲いわなによる誤捕獲。下を掘って脱出,推定2〜3才,逃走,26202,舞鶴市
福知山市夜久野町畑,天然生林,135.0095972,35.36588056,2016/8/10,1,,,くくりわなによる誤捕獲,1154mm、48kg、メス,計測後放獣,26201,福知山市
京丹後市網野町掛津,集落内,135.0619444,35.70305556,2016/8/11,,,1,民宿から北東の草木の間から頭が見えた。,,,26212,京丹後市
京丹後市丹後町遠下,路上,135.1436111,35.72972222,2016/8/11,1,,,道路より谷へおりていくクマを目撃した。,,,26212,京丹後市
与謝野町石川（亀山）,果樹園,135.1202778,35.52555556,2016/8/11,,,,モモが被害をうけた,,,26465,与謝野町
京丹後市網野町島津,集落内,135.0469444,35.685,2016/8/12,1,,,車からクマを目撃した。すぐ、橋の下に隠れた。,,,26212,京丹後市
京丹後市網野町島津,集落内,135.0469444,35.68194444,2016/8/12,,1,,庭で物音がしたため２階の戸をあけるとクマが柿の実を食べていた,150cm前後,,26212,京丹後市
京都市右京区梅ヶ畑,路上,135.6840917,35.06874444,2016/8/13,1,,,国道を横断するクマを目撃,,,26108,京都市
京丹後市久美浜町畑,集落内,134.9325,35.5525,2016/8/13,,,1,電柵で囲っているハウスのブドウが食害を受けた,,,26212,京丹後市
京丹後市久美浜町畑,集落内,134.9313889,35.5525,2016/8/13,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,オス　体重78kg　全長直137cm,捕殺,26212,京丹後市
京丹後市久美浜町関,果樹園,134.9525,35.61888889,2016/8/13,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,オス　体重89kg　全長直138cm,捕殺,26212,京丹後市
京丹後市久美浜町須田,集落内,134.9294444,35.56416667,2016/8/13,,,1,ブドウのハウスが破られて被害にあった,60cm前後,,26212,京丹後市
舞鶴市小橋,集落内,135.4022583,35.56035833,2016/8/13,,,1,海?寺付近住宅敷地内で目撃。寺方向に移動,,,26202,舞鶴市
舞鶴市丸田,路上,135.2791056,35.46214444,2016/8/13,,,1,大川橋から宮津方面へ向かう途中の丸田交差点を横切った,,,26202,舞鶴市
宮津市日置,集落内,135.225,35.6125,2016/8/14,,,1,民家庭の柿の木がクマの被害をうけた。,,,26205,宮津市
京丹後市久美浜町須田,集落内,134.9294444,35.56416667,2016/8/14,,,1,ハウスのブドウが食害を受け、電柵をはったら来た形跡があった。,,電柵の高さの補正指導,26212,京丹後市
綾部市五津合町,天然生林,135.4091028,35.38013056,2016/8/14,1,,,くくりわなによる誤捕獲。ワイヤーが外れ逃走,90〜100cm、45kg推定,計測後放獣,26203,綾部市
京丹後市久美浜町湊宮,路上,134.8880556,35.63833333,2016/8/15,,2,,河内、湊宮の分岐点でクマを目撃した。,40cm前後,,26212,京丹後市
宮津市小田宿野,集落内,135.2430556,35.56111111,2016/8/15,1,,,民家の庭の柿の木で柿を食べるクマを目撃した。,,,26205,宮津市
京丹後市久美浜町金谷,集落内,134.9347222,35.56,2016/8/15,,,1,8月上旬からハウスで栽培しているブドウの食害及び折害が発生している。,,電気柵の設置指導,26212,京丹後市
舞鶴市蒲江,集落内,135.2929333,35.49231389,2016/8/15,,2,,墓地付近で子グマ2頭目撃,,,26202,舞鶴市
京都市右京区京北田貫町,路上,135.6191833,35.19764167,2016/8/16,1,,,府道を横断するクマを目撃,,,26108,京都市
京丹後市久美浜町金谷,集落内,134.9347222,35.56,2016/8/16,,,1,ハウスで栽培しているブドウがクマによる被害を受けた。,,,26212,京丹後市
京丹後市久美浜町関,果樹園,134.955,35.62527778,2016/8/16,,,1,ナシが食べられた,,,26212,京丹後市
与謝野町明石,集落内,135.1097222,35.51638889,2016/8/16,,,1,散歩中にクマと遭遇した,,,26465,与謝野町
綾部市釜輪町,天然生林,135.3471722,35.30285833,2016/8/16,,,1,山で作業をしているときに目撃,,,26203,綾部市
京丹後市久美浜町関,果樹園,134.955,35.6175,2016/8/17,,,1,果樹園のナシが被害を受けた,,電気柵の設置指導,26212,京丹後市
綾部市十倉名畑町,路上,135.3631583,35.34022222,2016/8/17,1,,,府道小浜綾部線（中丹ファーム〜大宮バス停の区間）の路上を横断,,計測後放獣,26203,綾部市
京丹後市大宮町延利,路上,135.1494444,35.5935,2016/8/18,1,,,車で走行中の目撃,,,26212,京丹後市
舞鶴市三浜,路上,135.3946222,35.54934444,2016/8/18,,1,,せせらぎ橋付近で子グマが道路を横切り東側の山へ移動,,,26202,舞鶴市
京丹後市峰山町長岡,天然林,135.0655,35.60433333,2016/8/19,1,,,集落内、有害の捕獲許可をうけているくくりわなにクマが誤捕獲された。,メス　体重42kg　体長71cm,計測後放獣,26212,京丹後市
宮津市小田宿野,その他,135.2613889,35.55722222,2016/8/19,1,,,海洋つり場にクマが出没し、ゴミ箱を荒らされていた。,,,26205,宮津市
宮津市獅子崎,その他,135.2052778,35.55888889,2016/8/19,,1,,有害の捕獲許可をうけている捕獲檻でクマが捕獲された。,メス　体重15kg　全長直85.5cm,捕殺,26205,宮津市
綾部市有岡町,集落内,135.2593722,35.32005556,2016/8/19,,,,痕跡　カキの枝折れ,,,26203,綾部市
舞鶴市丸田,畑,135.2822083,35.46598611,2016/8/19,1,1,,熊の親子がカキの木に登っていた,,,26202,舞鶴市
京都市右京区梅ヶ畑,路上,135.680325,35.0495,2016/8/19,,1,,国道上にいるクマを目撃,,,26108,京都市
宮津市小田,その他,135.1758333,35.50166667,2016/8/20,1,,,有害の捕獲許可をうけている捕獲檻でクマが捕獲された。,オス　体重72kg　全長直132.5cm,捕殺,26205,宮津市
宮津市新宮,集落内,135.2366667,35.52027778,2016/8/21,,,1,クマによるカキ被害を受けた。,,,26205,宮津市
京丹波町坂井,その他,135.3352778,35.18805556,2016/8/21,1,,,クマを目撃。,,,26407,京丹波町
与謝野町温江,集落内,135.1144444,35.49861111,2016/8/21,,,1,柿の木にいるクマを目撃した。,,,26465,与謝野町
伊根町峠,路上,135.2819444,35.68777778,2016/8/22,,1,,朝妻小学校付近で国道を移動中に目撃した。,,,26463,伊根町
宮津市宮村,集落内,135.1913889,35.52527778,2016/8/22,,1,,東から西へ道路を横断するクマを目撃した。,,,26205,宮津市
宮津市小田宿野,その他,135.2627778,35.55666667,2016/8/22,,1,,側道で死亡しているクマを発見した。（電柱に登り感電死していた）,オス　体重27kg　体長64cm　全長直97cm　捕獲歴なし,交通事故死。計測後、焼却処分,26205,宮津市
宮津市惣,集落内,135.2038889,35.53166667,2016/8/22,,,1,クマによるカキ被害を受けた。,,,26205,宮津市
与謝野町温江,集落内,135.1144444,35.49861111,2016/8/22,,,1,柿の木にいるクマを目撃した。,,,26465,与謝野町
南丹市美山町芦生,その他,135.6988889,35.30777778,2016/8/22,1,,,有害の捕獲許可をうけているドラム缶檻にクマが捕獲された。,オス　体重65kg　全長直1352mm,捕殺,26213,南丹市
与謝野町岩屋,集落内,135.0736111,35.53,2016/8/23,,,1,民家付近でクマの糞を発見した。,,,26465,与謝野町
宮津市宮村,集落内,135.1955556,35.52805556,2016/8/23,,,1,公園付近でクマを目撃した。,,,26205,宮津市
宮津市宮村,集落内,135.195,35.52722222,2016/8/23,,,1,作業所の職員がクマを目撃した。,,,26205,宮津市
宮津市惣,集落内,135.2055556,35.53166667,2016/8/23,,,1,クマによるカキ被害を受けた。,,,26205,宮津市
伊根町越山,路上,135.2508333,35.70305556,2016/8/23,,1,,府道を移動中にクマを目撃した。,,,26463,伊根町
与謝野町温江,集落内,135.1144444,35.49861111,2016/8/23,,,1,19時から夜中の2時までずっとクマが柿の木にいた。,,,26465,与謝野町
宮津市喜多,集落内,135.1858333,35.52111111,2016/8/23,,1,,団地内でクマを目撃した。団地内の坂を上り山方面へ向かった。,,,26205,宮津市
京都市左京区鞍馬,畑,135.7752556,35.116,2016/8/23,1,,,畑にいるクマを目撃,,,26103,京都市
与謝野町石川（大宮）,集落内,135.1258333,35.52055556,2016/8/24,,,1,民家敷地内にクマの糞を発見した。,,,26465,与謝野町
