観察場所,環境区分,経度,緯度,目撃年月日,成獣,幼獣,その他（匹）,目撃時の状況,個体の状況,その後の処置,自治体コード,市町村名
宮津市獅子,路上,135.2213889,35.56333333,2016/5/20,1,1,,獅子地内の府道上に親子グマを目撃した。横断し、山方向へ向かった。,,,26205,宮津市
京丹波町坂井,路上,135.3361111,35.18805556,2016/5/20,,,1,国道９号を走行中、道路を横断するクマを目撃。,,,26407,京丹波町
宮津市小田宿野,その他,135.2541667,35.55722222,2016/5/20,,1,,水産事務所敷地内に設置してあるセンサーカメラに子グマがうつっていた。,,,26205,宮津市
伊根町大原,路上,135.2816667,35.68777778,2016/5/21,1,,,旧朝妻小学校付近の国道沿いで東方向の山へ移動するクマを目撃した。,100cmくらい,,26463,伊根町
京丹後市丹後町大山,路上,135.1022222,35.72166667,2016/5/21,,,1,バス停付近でクマを目撃した。,,周辺区長、小学校等へは注意喚起、警察によるパトロール済み。,26212,京丹後市
京丹後市久美浜町市野々,その他,134.9527778,35.53527778,2016/5/21,1,,,捕獲許可を受けているくくりわなにクマの誤捕獲があった。,50〜60kgくらい。,逃走。ワイヤを切って自力で実施。,26212,京丹後市
舞鶴市北吸,集落内,135.3858306,35.47125,2016/5/21,,,1,山へ移動,１ｍ,,26202,舞鶴市
京丹後市弥栄町鳥取,路上,135.0708333,35.6775,2016/5/22,,,1,丹後王国食のみやこサブゲート付近で目撃,40cmくらい,,26212,京丹後市
京丹後市弥栄町鳥取,路上,135.07,35.67833333,2016/5/22,,,1,府道上でクマを目撃した。,,,26212,京丹後市
与謝野町字男山,路上,135.1605556,35.58888889,2016/5/22,,1,,府道上でクマを目撃した。,,,26465,与謝野町
福知山市夜久野町日置,路上,134.9793472,35.32291389,2016/5/22,,1,,小熊と思われるクマ。山の方面に立ち去る。,,,26201,福知山市
京丹後市網野町郷,その他,135.0297222,35.635,2016/5/22,,1,,有害の許可をうけているくくりわなにクマが誤捕獲された。,メス　体重14.9cm　全長直90cm,計測後放獣,26212,京丹後市
伊根町大原,路上,135.2816667,35.68777778,2016/5/23,,1,,旧朝妻小学校付近の国道沿いで東方向の山へ移動するクマを目撃した。,５０cmくらい,,26463,伊根町
与謝野町岩滝,集落内,135.1480556,35.56805556,2016/5/23,,,1,岩滝小学校付近でクマを目撃した。天神山団地付近から山へ移動していった。,,,26465,与謝野町
綾部市篠田町小西,路上,135.2786083,35.35375556,2016/5/23,1,,,山の方向へ逃げていった。,６０ｃｍ,,26203,綾部市
宮津市小田宿野,その他,135.2630556,35.55611111,2016/5/23,,1,,釣り客が子グマを目撃した。,,,26205,宮津市
宮津市新宮,その他,135.2366667,35.525,2016/5/23,1,,,クマが農道を横断し河原の藪の中へ向かった。,,市町村、局の職員で現地確認するが発見には至らなかった。,26205,宮津市
伊根町峠,路上,135.275,35.70805556,2016/5/23,,1,,名古屋からの観光客が車で走行中に目撃した。,,警察によるパトロール済み。,26463,伊根町
京丹波町質志,その他,135.3213889,35.23722222,2016/5/23,1,,,鍾乳洞公園入り口付近で公園南側の山林へ入っていくクマらしき生き物を目撃。,小さめ,,26407,京丹波町
京都市右京区京北周山町,路上,135.6361111,35.15944444,2016/5/23,1,,,国道４７７号を横断し、山中に移動するクマを目撃,,,26108,京都市
舞鶴市上根,集落内,135.382275,35.42444722,2016/5/23,1,1,,上根　地福寺付近で目撃,,,26202,舞鶴市
舞鶴市大波下,集落内,135.3990139,35.49266111,2016/5/23,1,,,ほのぼの屋付近で目撃。山へ移動,,,26202,舞鶴市
舞鶴市寺田,集落内,135.3860972,35.39352778,2016/5/23,1,,,寺田付近で目撃,,,26202,舞鶴市
舞鶴市安岡,集落内,135.4389722,35.49085556,2016/5/23,,2,,安岡園付近で目撃,,,26202,舞鶴市
京丹後市網野町俵野,路上,134.9591667,35.64138889,2016/5/24,1,,,市道脇の藪から国営農地側へ路上を横断して行った,８０cmくらい,,26212,京丹後市
与謝野町幾地,集落内,135.0961111,35.52972222,2016/5/24,,,1,集落内で民家裏にある養蜂箱１３個の内１個が被害にあった。,,地元及び教育関係機関に注意喚起済み。市町村、局の職員にて現地確認済み。,26465,与謝野町
京丹後市弥栄町野中,集落内,135.1538889,35.69583333,2016/5/24,,,1,宇川側でクマを目撃した。山の方へ逃げていった。,,区長代表への連絡済み,26212,京丹後市
宮津市獅子,路上,135.2275,35.55805556,2016/5/24,1,,,海洋高校生が下校中にクマを目撃した。道路を横断して山の方へ向かった。,,獅子区内に防災無線による放送を実施済み,26205,宮津市
宮津市須津,路上,135.1497222,35.55305556,2016/5/24,1,,,車で走行中にクマを目撃した。道路を横断し消防署の裏山へ向かって行った。,,,26205,宮津市
伊根町峠,路上,135.2636111,35.70916667,2016/5/24,,,1,国道沿いでクマを目撃した。,,,26463,伊根町
舞鶴市上根,路上,135.3680833,35.41581667,2016/5/25,,,1,高速路上で目撃。山へ逃げた。,,,26202,舞鶴市
宮津市獅子,集落内,135.2202778,35.565,2016/5/25,,1,,公民館ふきんで子グマを目撃した。公民館裏手の山へ向かって行った。,,,26205,宮津市
舞鶴市大波下９６３,路上,135.4069889,35.49749444,2016/5/25,,,1,山側へ移動,,,26202,舞鶴市
京丹後市網野町三津,路上,135.0675,35.71472222,2016/5/25,,1,,R178号線の山側から三津漁港方面へ横断するクマを目撃した。,,,26212,京丹後市
舞鶴市池ノ内下,路上,135.3532722,35.40601667,2016/5/25,,,1,舞鶴西ICから東へ２kmほど本線上で目撃。山へ移動,,,26202,舞鶴市
与謝野町石川（堂谷）,集落内,135.1347222,35.54416667,2016/5/25,,1,,ファミマ裏１００メートルくらいのところで子グマを目撃した。,,,26465,与謝野町
宮津市日置,その他,135.2172222,35.60694444,2016/5/25,,,1,電柵とトタンで防除している養蜂場のトタンを破ってクマが侵入した。,,,26205,宮津市
伊根町大原,路上,135.3025,35.68583333,2016/5/25,,,1,町道沿いでクマを目撃した。,,,26463,伊根町
綾部市別所,路上,135.2742861,35.37405,2016/5/26,,,1,高速路上で目撃。山へ逃げた。,,,26203,綾部市
宮津市小田宿野,その他,135.2541667,35.55722222,2016/5/26,,1,,敷地内で子グマが目撃された。,,,26205,宮津市
宮津市小田,その他,135.1655556,35.49194444,2016/5/26,,1,,住民がクマを目撃した。,１ｍ弱,,26205,宮津市
宮津市上皆原,集落内,135.2158333,35.53305556,2016/5/26,1,,,住民がクマを目撃した。石を投げると驚いて逃げた。,,,26205,宮津市
舞鶴市和田,集落内,135.3498722,35.47458889,2016/5/26,1,,,和田付近で目撃,,,26202,舞鶴市
宮津市小田宿野,その他,135.2541667,35.55722222,2016/5/27,,1,,敷地内で子グマが目撃された。,,,26205,宮津市
宮津市小田宿野,その他,135.2541667,35.55722222,2016/5/27,,1,,敷地内で子グマが目撃された。,,,26205,宮津市
宮津市惣,集落内,135.2055556,35.53194444,2016/5/27,,1,,住民がクマを目撃した。,,自治会で回覧予定。,26205,宮津市
舞鶴市泉源寺,天然生林,135.4029056,35.48738889,2016/5/27,1,,,自宅向かいの山の木の上にクマがいるのを目撃。その後山へ移動,１ｍ,,26202,舞鶴市
京都市北区中川,路上,135.6880556,35.09361111,2016/5/27,,,1,道路を横断し、山中へ移動する熊を目撃,,,26101,京都市
