項目,2011年度(人),2012年度(人),2013年度(人),2014年度(人),2015年度(人)
丹波自然運動公園,534005,558800,559595,535229,579828
丹波自然運動公園_陸上競技場,69992,71599,72301,70633,67274
丹波自然運動公園_補助競技場,60697,61075,61437,63205,64519
丹波自然運動公園_テニス・バレーコート,74798,78454,81003,77066,81933
丹波自然運動公園_球技場,41443,42607,46467,43997,41733
丹波自然運動公園_軟式野球場,41598,35348,24117,30392,33561
丹波自然運動公園_体育館,45913,49326,53179,53678,53853
丹波自然運動公園_ゲートボール場,65,184,239,105,-
丹波自然運動公園_プール,25290,31259,29910,21582,29489
丹波自然運動公園_パターゴルフ,4628,4206,3862,3852,3808
丹波自然運動公園_宿泊所,25353,24964,23271,23754,23678
丹波自然運動公園_丹波天文館,1552,1855,1498,1383,1600
丹波自然運動公園_一般入園者,169581,184742,187080,170719,203658
山城総合運動公園,1423803,1398621,1507645,1456237,1552424
山城総合運動公園_陸上競技場,98869,102238,127494,122499,127855
山城総合運動公園_第2競技場,111569,94954,91663,97381,105943
山城総合運動公園_球技場A、B,104432,108983,114046,104379,111709
山城総合運動公園_野球場,230107,268280,256900,269935,259229
山城総合運動公園_テニスコート,103293,106057,113461,115426,116177
山城総合運動公園_プール,133317,158694,153660,144678,143225
山城総合運動公園_フリーゾーン,500867,423105,488545,433948,486127
山城総合運動公園_体育館,141349,136310,161876,166597,200339
山城総合運動公園_弓道場,-,-,-,1394,1820
伏見港公園,246241,254698,189669,112439,257239
伏見港公園_体育館,68049,70632,65289,56028,74125
伏見港公園_プール,138840,144947,88563,14808,138618
伏見港公園_相撲場,492,398,430,616,714
伏見港公園_テニスコート,38860,38721,35387,40987,43782
関西文化学術研究都市記念公園,628027,591169,557839,630472,598298
関西文化学術研究都市記念公園_水景園,78567,81513,75475,78148,83001
関西文化学術研究都市記念公園_研修室、会議室,1499,1439,2744,863,1029
関西文化学術研究都市記念公園_芝生広場,547961,508217,479620,551461,514268
木津川運動公園,-,-,-,58052,75362
