AED設置場所名称,よみ,住所,経度,緯度,利用開始時間,利用終了時間,設置位置,注意事項,URL,備考
峰山保育所,みねやまほいくしょ,京丹後市峰山町杉谷２８３,135.0633644,35.62294795,,,職員室内,,,
吉原保育所,よしわらほいくしょ,京丹後市峰山町菅２２８,135.0579392,35.61116711,,,職員室内,,,
五箇保育所,ごかほいくしょ,京丹後市峰山町五箇２,135.0373969,35.58971313,,,職員室内,,,
長岡保育所,ながおかほいくしょ,京丹後市峰山町長岡９３,135.0701095,35.60303445,,,玄関,,,
新山保育所,しんざんほいくしょ,京丹後市峰山町荒山１２３１,135.0841586,35.61338313,,,職員室内,,,
丹波保育所,たんばほいくしょ,京丹後市峰山町丹波１４０３,135.0727852,35.63230401,,,玄関,,,
口大野保育所,くちおおのほいくしょ,京丹後市大宮町口大野６２５,135.0910984,35.58351312,,,職員室内,,,
大宮南保育所,おおみやみなみほいくしょ,京丹後市大宮町周枳１６７,135.1013753,35.58210989,,,職員室内,,,
河辺保育所,こうべほいくしょ,京丹後市大宮町河辺２３４２,135.089884,35.60393039,,,職員室前ホール,,,
善王寺保育所,ぜんのうじほいくしょ,京丹後市大宮町善王寺１０５８,135.0798735,35.59384753,,,職員室内,,,
網野保育所,あみのほいくしょ,京丹後市網野町網野７２１,135.0264901,35.68367349,,,職員室内,,,
網野みなみ保育所,あみのみなみほいくしょ,京丹後市網野町小浜１３３,135.0299412,35.67055102,,,職員室内,,,
浅茂川保育所,あさもがわほいくしょ,京丹後市網野町浅茂川１４,135.0207304,35.68555976,,,職員室内,,,
島津保育所,しまずほいくしょ,京丹後市網野町島津１１８０,135.050528,35.68399707,,,職員室内,,,
たちばな保育所,たちばなほいくしょ,京丹後市網野町木津１３５７−３,134.9675711,35.65380089,,,職員室内,,,
丹後保育所,たんごほいくしょ,京丹後市丹後町間人３００,135.0989197,35.72818511,,,職員室内,,,
宇川保育所,うかわほいくしょ,京丹後市丹後町中野２４２,135.1630768,35.74365873,,,職員室内,,,
和田野保育所,わだのほいくしょ,京丹後市弥栄町和田野１０２５,135.086571,35.66042416,,,職員室内,,,
鳥取保育所,とっとりほいくしょ,京丹後市弥栄町木橋２５,135.0767583,35.67388099,,,職員室内,,,
黒部保育所,くろべほいくしょ,京丹後市弥栄町黒部２８８０,135.0993609,35.67973999,,,職員室内,,,
