西暦,和暦,記念物_史跡(件),記念物_史跡_特別(件),記念物_名勝(件),記念物_名勝_特別(件),記念物_天然記念物(件),記念物_天然記念物_特別(件),重要有形民俗文化財(件),重要無形民俗文化財(件),重要無形文化財_各個指定_保持者(件),重要無形文化財_各個指定_件数(件),重要無形文化財_総合指定保持者(件),重要無形文化財_保持団体(件),重要伝統的建造物群保存地区数(件),重要文化的景観(件)
2012年,平成24年,82,3,41,11,10,-,5,10,12,12,-,-,7,1
2013年,平成25年,82,3,41,11,10,-,5,10,12,12,-,-,7,1
2014年,平成26年,82,3,41,11,10,-,5,10,12,12,-,-,7,2
2015年,平成27年,84,3,43,11,10,-,5,10,10,10,-,-,7,2
2016年,平成28年,82,3,43,11,10,-,5,10,9,10,-,-,7,3
