項目,2009年度(百万円),2010年度(百万円),2011年度(百万円),2012年度(百万円),2013年度(百万円),2013年度_対前年度増加率(%),2013年度_構成比(%)
1 民間最終消費支出,6179419,6077104,6162642,6047413,6322428,4.5,67.2
2 政府最終消費支出,1902291,1872706,1912647,1926726,1909480,-0.9,20.3
3 府民貯蓄,1130327,1374867,1413300,1535871,1180800,-23.1,12.5
府民可処分所得の使用,9212037,9324676,9488588,9510010,9412708,-1,100
4 府内雇用者報酬,4780181,4647986,4410346,4394607,4398973,0.1,46.7
5 府外からの雇用者報酬（純）,6119,-4865,10972,50596,37672,-25.5,0.4
6 営業余剰・混合所得,2369298,2643377,2989053,2996427,2959321,-1.2,31.4
7 府外からの財産所得（純）,357367,359056,371223,347566,387894,11.6,4.1
8 生産・輸入品に課される税,711177,683710,707994,690553,707499,2.5,7.5
9 （控除）補助金,78496,67557,64866,56856,61855,8.8,0.7
10 府外からのその他の経常移転（純）,1066390,1062968,1063867,1087116,983206,-9.6,10.4
府民可処分所得,9212037,9324676,9488588,9510010,9412708,-1,100
