西暦,和暦,年月,平均気温(℃),日最高平均気温(℃),日最低平均気温(℃),最高気温(℃),最低気温(℃),平均相対湿度(%),平均風速(m/s),最大瞬間風速(m/s),日照時間(時間),降水量_合計(mm),降水量_最大日量(mm),降水量_最大1時間量(mm),降雪の深さ_合計(cm),降雪の深さ_最大日量(cm),最深積雪(cm),現象日数_雪(日),現象日数_霧(日),現象日数_雷(日),不照日数(日)
2011年,平成23年,年次,14.8,19.8,10.9,37.9,-3.5,78,2.3,25.5,1546.4,2348.5,168,36.5,203,33,37,64,7,21,43
2012年,平成24年,年次,14.6,19.4,10.8,37.6,-4.5,78,2.3,23.7,1564.2,2157,98.5,46,297,46,87,62,13,32,47
2013年,平成25年,年次,14.8,20,10.7,38.1,-3.3,77,2.5,36.1,1784.9,2093,168.5,27.5,124,17,15,×,×,1,40
2014年,平成26年,年次,14.5,19.5,10.6,37.5,-2.9,78,2.6,26.9,1563.9,2075.5,127.5,28.5,92,20,15,84,20,…,51
2015年,平成27年,年次,15,19.9,11.1,37.4,-3.7,80,2.4,24.5,1611.2,2026.5,94,37,169,33,35,72,15,…,54
2015年,平成27年,1月,3.7,6.8,1.1,11.3,-1.2,89,2.6,24.5,44.9,288.5,43,9.5,47,33,35,22,2,…,8
2015年,平成27年,2月,4.4,8.6,1.1,16,-2.4,83,2.5,15.6,70.8,117,20.5,4.5,70,23,35,20,2,…,3
2015年,平成27年,3月,7.6,13.2,2.9,25.2,-3.7,75,2.4,18.1,144.6,161.5,28.5,5.5,24,24,21,8,2,…,4
2015年,平成27年,4月,13.8,19.4,8.7,30.2,2.8,76,3,16.6,159.9,158,37.5,9,-,-,-,1,-,…,8
2015年,平成27年,5月,19,25.9,12.9,31.2,8,68,2.5,13.8,242.2,85,55,21,-,-,-,-,-,…,-
2015年,平成27年,6月,21.3,26.2,17.5,32,12.4,81,2.2,11.5,125.7,173.5,31.5,11.5,-,-,-,-,1,…,4
2015年,平成27年,7月,25.8,30.5,22.3,36.5,17.9,80,2.3,18.3,149.9,229,65.5,31,-,-,-,-,-,…,4
2015年,平成27年,8月,26.4,31.7,22.8,37.4,18.7,82,2.2,20.3,194,114.5,45.5,24,-,-,-,-,-,…,2
2015年,平成27年,9月,21,25,18,30.6,14,85,2.1,16.2,123.7,299,77,37,-,-,-,-,3,…,7
2015年,平成27年,10月,16.3,22.1,11.4,26.9,6.6,77,2.4,16.5,187.4,43.5,27,24,-,-,-,-,2,…,1
2015年,平成27年,11月,13.2,17.3,10,23.3,1.6,85,2.2,16.2,87.4,155,29.5,11.5,-,-,-,-,1,…,8
2015年,平成27年,12月,7.9,12,4.1,17.3,-0.9,83,2.2,19.4,80.7,202,94,16,-,-,-,6,2,…,5
