西暦,和暦,業種,総数(組合),京都市(組合),山城広域振興局(組合),南丹広域振興局(組合),中丹広域振興局(組合),丹後広域振興局(組合),年度内設立数(組合),年度内解散数(組合)
2011年度,平成23年度,総数,596,446,48,32,53,17,2,8
2012年度,平成24年度,総数,583,440,45,31,51,16,2,15
2013年度,平成25年度,総数,583,439,46,31,51,16,3,3
2014年度,平成26年度,総数,568,428,46,30,49,15,1,14
2015年度,平成27年度,総数,615,464,52,29,54,16,54,7
2015年度,平成27年度,製造業,151,124,7,6,9,5,1,1
2015年度,平成27年度,製造業_食料品製造業,31,24,1,2,3,1,-,-
2015年度,平成27年度,製造業_繊維工業・繊維製品製造業,45,43,1,-,1,-,-,-
2015年度,平成27年度,製造業_木材・木製品・家具製造業,11,8,-,1,1,1,-,-
2015年度,平成27年度,製造業_紙製品製造業、印刷,7,6,-,-,1,-,-,-
2015年度,平成27年度,製造業_化学製品・ゴム製品・皮革製品製造業,3,2,1,-,-,-,-,-
2015年度,平成27年度,製造業_窯業・土石製品製造業,21,11,4,2,2,2,1,-
2015年度,平成27年度,製造業_鉄鋼機械金属関連産業,16,13,-,1,1,1,-,-
2015年度,平成27年度,製造業_その他の製造業,17,17,-,-,-,-,-,1
2015年度,平成27年度,非製造業,428,310,41,23,43,11,47,5
2015年度,平成27年度,非製造業_農業、林業、漁業,6,4,-,1,1,-,-,-
2015年度,平成27年度,非製造業_鉱業,3,-,1,-,2,-,-,-
2015年度,平成27年度,非製造業_建設業,108,65,18,14,9,2,-,1
2015年度,平成27年度,非製造業_卸売業,61,50,2,1,6,2,-,1
2015年度,平成27年度,非製造業_小売業(単一業種),50,43,4,1,1,1,1,1
2015年度,平成27年度,非製造業_小売業(総合),85,56,9,3,13,4,-,-
2015年度,平成27年度,非製造業_小売業(飲食業),5,5,-,-,-,-,-,-
2015年度,平成27年度,非製造業_金融・保険、不動産、運輸、倉庫業,46,34,5,-,6,1,43,1
2015年度,平成27年度,非製造業_サービス業,64,53,2,3,5,1,3,1
2015年度,平成27年度,その他,36,30,4,-,2,-,6,1
