西暦,和暦,総数(件),取下げ・和解_取下げ(件),取下げ・和解_無関与和解(件),取下げ・和解_関与和解(件),命令・決定_全部救済(件),命令・決定_一部救済(件),命令・決定_棄却(件),命令・決定_却下(件),次年繰越(件)
2011年,平成23年,12,-,-,3,-,3,-,-,6
2012年,平成24年,9,-,-,2,-,4,1,-,2
2013年,平成25年,6,-,-,-,-,1,1,-,4
2014年,平成26年,8,-,-,3,-,-,1,-,4
2015年,平成27年,9,-,1,4,-,-,3,-,1
