西暦,和暦,年月,都市銀行(億円),地域銀行(億円),信用金庫(億円)
2011年,平成23年,年次,38826,58012,65473
2012年,平成24年,年次,38825,59071,66064
2013年,平成25年,年次,41769,60811,66797
2014年,平成26年,年次,41781,62416,67870
2015年,平成27年,年次,41977,62840,68836
2015年,平成27年,1月,41532,61858,67172
2015年,平成27年,2月,41360,61934,67888
2015年,平成27年,3月,42842,62643,67993
2015年,平成27年,4月,43597,62451,68123
2015年,平成27年,5月,43087,62867,67959
2015年,平成27年,6月,42671,63184,68810
2015年,平成27年,7月,42141,61681,68302
2015年,平成27年,8月,41427,62023,68521
2015年,平成27年,9月,42060,61968,68920
2015年,平成27年,10月,41853,62038,68535
2015年,平成27年,11月,42283,62548,68275
2015年,平成27年,12月,41977,62840,68836
