地域コード,地域,基準人口_総人口(人),基準人口_男(人),基準人口_女(人),2015年推計人口_総人口(人),2015年推計人口_男(人),2015年推計人口_女(人),2020年推計人口_総人口(人),2020年推計人口_男(人),2020年推計人口_女(人),2025年推計人口_総人口(人),2025年推計人口_男(人),2025年推計人口_女(人),2030年推計人口_総人口(人),2030年推計人口_男(人),2030年推計人口_女(人),2035年推計人口_総人口(人),2035年推計人口_男(人),2035年推計人口_女(人),2040年推計人口_総人口(人),2040年推計人口_男(人),2040年推計人口_女(人),基準人口_0〜14歳(人),基準人口_15〜64歳(人),基準人口_65歳以上(人),2015年推計人口_0〜14歳(人),2015年推計人口_15〜64歳(人),2015年推計人口_65歳以上(人),2020年推計人口_0〜14歳(人),2020年推計人口_15〜64歳(人),2020年推計人口_65歳以上(人),2025年推計人口_0〜14歳(人),2025年推計人口_15〜64歳(人),2025年推計人口_65歳以上(人),2030年推計人口_0〜14歳(人),2030年推計人口_15〜64歳(人),2030年推計人口_65歳以上(人),2035年推計人口_0〜14歳(人),2035年推計人口_15〜64歳(人),2035年推計人口_65歳以上(人),2040年推計人口_0〜14歳(人),2040年推計人口_15〜64歳(人),2040年推計人口_65歳以上(人)
26213,南丹市,35214,17174,18040,33472,16421,17051,31686,15626,16060,29894,14827,15067,28164,14059,14105,26442,13274,13168,24672,12466,12206,3960,20794,10460,3466,18963,11043,3046,17418,11222,2686,16290,10918,2401,15166,10597,2221,14027,10194,2054,12793,9825
26214,木津川市,69761,33531,36230,73834,35488,38346,76320,36619,39701,78112,37349,40763,79356,37776,41580,80134,38012,42122,80571,38185,42386,11844,44919,12998,12954,44045,16835,12967,44387,18966,12351,45791,19970,11866,46900,20590,11755,46895,21484,11876,45160,23535
26303,乙訓郡大山崎町,15121,7340,7781,14860,7151,7709,14512,6931,7581,14036,6653,7383,13488,6356,7132,12901,6061,6840,12338,5791,6547,2147,9311,3663,2163,8506,4191,2055,8146,4311,1849,7996,4191,1692,7700,4096,1603,7275,4023,1555,6655,4128
26322,久世郡久御山町,15914,7780,8134,15281,7446,7835,14687,7117,7570,13967,6719,7248,13123,6266,6857,12218,5805,6413,11299,5369,5930,2263,10119,3532,2020,8858,4403,1798,8214,4675,1594,7833,4540,1402,7422,4299,1271,6804,4143,1190,5904,4205
26343,綴喜郡井手町,8447,4129,4318,7979,3889,4090,7534,3661,3873,7042,3413,3629,6534,3158,3376,6014,2897,3117,5506,2652,2854,1016,5213,2218,869,4679,2431,747,4273,2514,649,3962,2431,562,3624,2348,501,3251,2262,451,2850,2205
26344,綴喜郡宇治田原町,9711,4798,4913,9448,4695,4753,9132,4544,4588,8744,4354,4390,8332,4149,4183,7875,3925,3950,7388,3694,3694,1394,6170,2147,1180,5739,2529,992,5392,2748,869,5088,2787,780,4749,2803,724,4308,2843,680,3909,2799
26364,相楽郡笠置町,1626,764,862,1465,686,779,1310,609,701,1163,538,625,1017,469,548,889,408,481,775,357,418,120,893,613,78,756,631,66,624,620,55,530,578,46,458,513,40,397,452,35,334,406
26365,相楽郡和束町,4482,2111,2371,4093,1929,2164,3742,1754,1988,3386,1573,1813,3029,1394,1635,2680,1223,1457,2336,1056,1280,390,2630,1462,326,2145,1622,248,1811,1683,203,1584,1599,174,1365,1490,152,1207,1321,131,1021,1184
26366,相楽郡精華町,35630,17079,18551,36631,17431,19200,37032,17489,19543,37048,17344,19704,36810,17081,19729,36334,16743,19591,35635,16343,19292,6380,23210,6040,5880,22900,7851,5287,22850,8895,4880,22636,9532,4540,21985,10285,4403,20686,11245,4367,19136,12132
26367,相楽郡南山城村,3078,1464,1614,2794,1306,1488,2488,1163,1325,2185,1020,1165,1903,886,1017,1639,763,876,1394,656,738,250,1744,1084,166,1449,1179,116,1191,1181,96,991,1098,78,829,996,65,713,861,55,570,769
26407,船井郡京丹波町,15732,7393,8339,14527,6838,7689,13367,6290,7077,12242,5766,6476,11170,5269,5901,10151,4798,5353,9172,4346,4826,1783,8467,5482,1413,7427,5687,1170,6589,5608,1005,5952,5285,880,5337,4953,802,4783,4566,740,4202,4230
26463,与謝郡伊根町,2410,1117,1293,2131,980,1151,1887,864,1023,1654,762,892,1454,668,786,1278,589,689,1116,512,604,200,1182,1028,144,987,1000,110,819,958,92,710,852,80,614,760,72,548,658,67,484,565
26465,与謝郡与謝野町,23454,11039,12415,21974,10281,11693,20552,9564,10988,19129,8846,10283,17748,8167,9581,16413,7508,8905,15107,6881,8226,3315,13121,7019,2735,11738,7501,2319,10740,7493,2024,9870,7235,1797,8972,6979,1662,8128,6623,1572,7186,6349
