西暦,和暦,地域コード,地域,総数(人),農業(人),林業(人),漁業(人),"鉱業,採石業,砂利採取業(人)",建設業(人),製造業(人),電気・ガス・熱供給・水道業(人),情報通信業(人),運輸業，郵便業(人),卸売業，小売業(人),金融業，保険業(人),不動産業，物品賃貸業(人),"学術研究,専門・技術サービス業(人)",宿泊業，飲食サービス業(人),"生活関連サービス業,娯楽業(人)",教育，学習支援業(人),"医療,福祉(人)",複合サービス事業(人),サービス業（他に分類されないもの）(人),公務(他に分類されるものを除く)(人),分類不能の産業(人)
2005年,平成17年,26000,京都府,1236313,33892,※農業と合算,974,351,87964,221160,5748,18536,59684,232589,26867,24416,36393,89941,45407,69717,115533,11784,79977,42201,33179
2010年,平成22年,26000,京都府,1217670,24478,894,734,204,71395,196833,5311,18242,59452,207287,25752,23366,35548,85246,42646,69919,129746,5529,65344,41980,107764
2010年,平成22年,26100,京都市,760536,4931,337,5,19,40673,103405,3308,15351,36015,141330,19477,18085,25205,62665,26133,46242,76999,2282,43028,20151,74895
2010年,平成22年,26101,京都市北区,48630,642,93,1,-,2305,4560,330,505,1554,8304,723,1303,1543,4351,1909,5493,6173,136,2271,632,5802
2010年,平成22年,26102,京都市上京区,47955,38,29,-,-,1378,6241,90,1014,597,7612,532,1267,1705,3792,1491,3824,6591,149,2621,4946,4038
2010年,平成22年,26103,京都市左京区,71367,465,57,1,1,3416,3879,122,903,1848,10538,1770,2016,2827,7280,2356,11098,10134,240,4075,1317,7024
2010年,平成22年,26104,京都市中京区,95754,117,13,-,2,3570,11891,108,3835,1533,20330,3747,2732,5067,10974,4291,4054,7592,212,5539,4453,5694
2010年,平成22年,26105,京都市東山区,28905,39,3,1,-,824,2879,65,404,411,4730,220,630,777,6421,1235,1763,3109,91,2149,619,2535
2010年,平成22年,26110,京都市山科区,50078,425,1,-,1,4911,6177,111,659,3106,8252,724,1112,1276,3032,1889,2271,6618,148,2181,998,6186
2010年,平成22年,26106,京都市下京区,93763,115,1,1,-,2574,8390,822,3241,3535,26912,6702,2571,3736,8819,2927,2785,5233,338,6863,1387,6811
2010年,平成22年,26107,京都市南区,83737,396,2,-,-,5071,22742,839,1953,9025,15971,1242,1240,1826,3635,1669,1636,3959,148,5008,1190,6185
2010年,平成22年,26108,京都市右京区,81005,920,128,1,11,4987,15689,156,1239,4128,13095,1356,1918,2258,5688,3030,4134,7211,326,4022,1190,9518
2010年,平成22年,26111,京都市西京区,44265,668,6,-,-,3364,3616,94,361,2032,7224,765,1103,1525,2770,1536,3391,6821,160,1915,1039,5875
2010年,平成22年,26109,京都市伏見区,115077,1106,4,-,4,8273,17341,571,1237,8246,18362,1696,2193,2665,5903,3800,5793,13558,334,6384,2380,15227
2010年,平成22年,26201,福知山市,42937,2461,61,5,29,3839,7728,255,265,2472,6615,761,422,817,1989,1357,1802,4715,301,2529,2275,2239
