西暦,和暦,大分類項目,中分類項目名,事業所数(事業所),事業所数_個人(事業所),事業所数_法人(事業所),事業所数_会社(事業所),事業所数_会社以外の法人(事業所),事業所_法人でない団体(事業所),従業者数(人),従業者数_個人(人),従業者数_法人(人),従業者数_会社(人),従業者数_会社以外の法人(人),従業者数_法人でない団体(人),従業上の地位別_個人業主(人),従業上の地位別_無給の家族従業者(人),従業上の地位別_有給役員(人),従業上の地位別_正社員・正職員(人),従業上の地位別_正社員・正職員以外(人),従業上の地位別_臨時雇用者(人)
2014年,平成26年,F_電気・ガス・熱供給・水道業,合計,71,-,70,68,2,1,2917,-,2914,2913,1,3,-,-,24,2733,134,26
2014年,平成26年,F_電気・ガス・熱供給・水道業,33_電気業,28,-,28,28,-,-,1835,-,1835,1835,-,-,-,-,6,1787,42,-
2014年,平成26年,F_電気・ガス・熱供給・水道業,34_ガス業,8,-,8,8,-,-,587,-,587,587,-,-,-,-,7,525,55,-
2014年,平成26年,F_電気・ガス・熱供給・水道業,35_熱供給業,1,-,1,1,-,-,2,-,2,2,-,-,-,-,-,-,2,-
2014年,平成26年,F_電気・ガス・熱供給・水道業,36_水道業,34,-,33,31,2,1,493,-,490,489,1,3,-,-,11,421,35,26
2014年,平成26年,G_情報通信業,合計,1042,59,982,959,23,1,14570,123,14445,14167,278,2,59,15,1239,10680,2231,346
2014年,平成26年,G_情報通信業,37_通信業,80,-,80,79,1,-,1739,-,1739,1719,20,-,-,-,61,1098,575,5
2014年,平成26年,G_情報通信業,38_放送業,18,-,18,16,2,-,449,-,449,294,155,-,-,-,18,325,101,5
2014年,平成26年,G_情報通信業,39_情報サービス業,499,18,481,472,9,-,8122,31,8091,8057,34,-,18,5,643,6339,946,171
2014年,平成26年,G_情報通信業,40_インターネット附随サービス業,108,7,101,100,1,-,772,11,761,743,18,-,7,2,118,503,114,28
2014年,平成26年,G_情報通信業,41_映像・音声・文字情報制作業,337,34,302,292,10,1,3488,81,3405,3354,51,2,34,8,399,2415,495,137
2014年,平成26年,H_運輸業，郵便業,合計,2157,447,1695,1630,65,15,59019,665,58284,57655,629,70,441,106,1642,38912,15826,2092
2014年,平成26年,H_運輸業，郵便業,42_鉄道業,111,-,111,111,-,-,5164,-,5164,5164,-,-,-,-,29,4558,515,62
2014年,平成26年,H_運輸業，郵便業,43_道路旅客運送業,573,371,197,189,8,5,16284,463,15813,15772,41,8,368,80,223,12585,2788,240
2014年,平成26年,H_運輸業，郵便業,44_道路貨物運送業,1099,62,1036,1027,9,1,26240,168,26070,26018,52,2,60,22,1135,16867,7045,1111
2014年,平成26年,H_運輸業，郵便業,45_水運業,16,5,11,10,1,-,269,10,259,121,138,-,5,3,15,199,40,7
2014年,平成26年,H_運輸業，郵便業,46_航空運輸業,7,-,7,7,-,-,39,-,39,39,-,-,-,-,-,39,-,-
