地域コード,地域,性別,総数_年齢計(人),0〜4歳(人),5〜9歳(人),10〜14歳(人),15〜19歳(人),20〜24歳(人),25〜29歳(人),30〜34歳(人),35〜39歳(人),40〜44歳(人),45〜49歳(人),50〜54歳(人),55〜59歳(人),60〜64歳(人),65〜69歳(人),70〜74歳(人),75〜79歳(人),80〜84歳(人),85〜89歳(人),90〜94歳(人),95〜99歳(人),100歳以上(人),年齢不詳(人),(再掲)15歳未満(人),(再掲)15〜64歳(人),(再掲)65歳以上(人),割合_15歳未満(%),割合_15〜64歳(%),割合_65歳以上(%)
26344,綴喜郡宇治田原町,総数,9319,328,391,477,503,497,430,493,482,629,665,617,605,711,781,582,431,385,194,88,26,1,3,1196,5632,2488,12.8,60.5,26.7
26364,相楽郡笠置町,総数,1368,15,20,28,52,46,46,45,50,71,63,74,99,132,151,132,138,111,61,23,9,2,-,63,678,627,4.6,49.6,45.8
26365,相楽郡和束町,総数,3956,78,104,146,126,119,142,139,171,216,178,260,278,393,477,337,310,244,152,68,15,3,-,328,2022,1606,8.3,51.1,40.6
26366,相楽郡精華町,総数,36376,1572,1991,2267,2367,1740,1465,1720,2311,3134,3011,2538,2137,2282,2647,2032,1333,907,581,254,73,11,3,5830,22705,7838,16,62.4,21.5
26367,相楽郡南山城村,総数,2652,41,57,77,92,76,83,81,111,143,127,152,200,288,287,275,207,182,109,39,6,-,19,175,1353,1105,6.6,51.4,42
26407,船井郡京丹波町,総数,14453,348,455,586,671,458,425,507,643,788,806,866,929,1190,1421,1166,1005,997,735,331,93,21,12,1389,7283,5769,9.6,50.4,39.9
26463,与謝郡伊根町,総数,2110,52,48,62,64,45,62,77,77,78,93,123,141,211,211,161,180,196,145,59,22,3,-,162,971,977,7.7,46,46.3
26465,与謝郡与謝野町,総数,21834,744,878,1066,1035,545,782,862,1110,1444,1332,1434,1442,1624,1956,1529,1381,1233,863,392,115,29,38,2688,11610,7498,12.3,53.3,34.4
26000,京都府,男,1248972,49926,54001,56853,66973,75026,65446,68779,80786,96717,84496,75265,68230,75795,97506,76712,57399,41254,21408,6495,1312,201,28392,-,-,-,-,-,-
26100,京都市,男,699748,26800,27435,28689,36855,49347,40272,40332,45372,53083,47662,42339,37147,39800,51872,40186,30828,22454,11055,3473,715,111,23921,-,-,-,-,-,-
26101,京都市北区,男,56984,1959,2146,2267,3952,5716,2599,2528,3091,3852,3703,3477,3091,3241,4073,3148,2497,2027,1080,380,77,13,2067,-,-,-,-,-,-
26102,京都市上京区,男,39212,1206,1330,1321,2241,4308,2313,1952,2276,2582,2307,2175,1881,1999,2620,1965,1692,1372,779,235,40,8,2610,-,-,-,-,-,-
26103,京都市左京区,男,81338,2841,3042,2924,4858,9476,4910,4202,4678,5340,4877,4430,4098,4352,5691,4362,3434,2674,1394,463,110,10,3172,-,-,-,-,-,-
26104,京都市中京区,男,50377,1980,1856,1848,2368,3376,3505,3252,3517,3823,3537,3210,2789,2596,3385,2672,2077,1664,749,239,52,11,1871,-,-,-,-,-,-
26105,京都市東山区,男,16694,519,470,490,616,851,972,966,1109,1132,996,956,969,1065,1474,1093,885,765,385,140,22,8,811,-,-,-,-,-,-
26110,京都市山科区,男,64273,2499,2595,2734,3130,3102,3169,3537,4299,5367,4712,3959,3307,3757,5446,4370,3256,2073,997,310,69,9,1576,-,-,-,-,-,-
26106,京都市下京区,男,37933,1425,1311,1230,1349,2302,3166,3043,2996,3114,2580,2173,1953,1803,2366,1724,1417,1131,579,201,30,6,2034,-,-,-,-,-,-
26107,京都市南区,男,49725,2084,1942,1910,2153,2732,3609,3639,3623,3976,3489,3181,2754,3094,3694,2722,1946,1337,674,196,42,4,924,-,-,-,-,-,-
26108,京都市右京区,男,96673,3825,3922,4193,4860,5502,5012,5415,6330,7588,6818,6122,5348,5585,7035,5590,4504,3221,1505,454,90,20,3734,-,-,-,-,-,-
26111,京都市西京区,男,72098,3128,3259,3666,3896,3786,3633,3997,4668,5564,5042,4424,3942,4280,5531,4500,3245,2133,1018,286,63,5,2032,-,-,-,-,-,-
26109,京都市伏見区,男,134441,5334,5562,6106,7432,8196,7384,7801,8785,10745,9601,8232,7015,8028,10557,8040,5875,4057,1895,569,120,17,3090,-,-,-,-,-,-
26201,福知山市,男,39156,1854,1809,1932,2024,1593,2158,2292,2621,3028,2488,2354,2449,2515,3013,2184,1669,1429,986,298,66,7,387,-,-,-,-,-,-
26202,舞鶴市,男,41694,1750,1902,2083,2599,1976,2059,2266,2724,3147,2669,2469,2365,2595,3347,2553,2037,1569,898,302,61,8,315,-,-,-,-,-,-
26203,綾部市,男,16197,569,657,803,775,461,687,746,918,1145,989,911,983,1214,1483,1235,926,869,541,172,36,8,69,-,-,-,-,-,-
26204,宇治市,男,89014,3686,4342,4565,4991,4457,4103,4452,5738,7309,6283,5359,4695,5457,7226,5910,4365,2802,1383,385,65,14,1427,-,-,-,-,-,-
26205,宮津市,男,8726,255,333,380,447,212,309,353,429,558,479,573,617,751,857,656,554,478,349,102,27,1,6,-,-,-,-,-,-
26206,亀岡市,男,43267,1830,2064,2227,2392,2173,2051,2328,2752,3196,2699,2577,2664,3209,3749,2799,1913,1270,627,182,31,6,528,-,-,-,-,-,-
26207,城陽市,男,36952,1404,1630,1740,1809,1535,1591,1907,2389,3051,2509,2022,1841,2497,3654,3169,2056,1201,596,146,29,2,174,-,-,-,-,-,-
26208,向日市,男,25387,1083,1321,1385,1299,1010,1146,1305,1794,2266,2007,1595,1348,1470,2032,1735,1223,757,390,99,18,3,101,-,-,-,-,-,-
26209,長岡京市,男,38789,1813,1929,1948,1964,1642,1916,2251,2828,3440,2892,2509,1997,2180,2931,2446,1789,1166,602,194,29,5,318,-,-,-,-,-,-
26210,八幡市,男,35212,1390,1719,1728,1691,1505,1690,1969,2302,2918,2487,1983,1986,2446,3174,2641,1796,1069,478,135,21,5,79,-,-,-,-,-,-
26211,京田辺市,男,34728,1655,1886,1860,2479,3335,1725,1667,2333,2948,2212,1850,1516,1740,2348,2087,1349,850,396,102,26,1,363,-,-,-,-,-,-
26212,京丹後市,男,26353,937,1122,1349,1234,665,1040,1194,1424,1859,1645,1841,1886,2000,2394,1779,1509,1313,824,241,66,14,17,-,-,-,-,-,-
26213,南丹市,男,16057,559,617,674,1084,1049,695,732,784,958,884,955,981,1238,1299,988,832,777,501,149,29,4,268,-,-,-,-,-,-
26214,木津川市,男,34805,1907,2354,2187,1834,1404,1420,2006,2633,3143,2344,1887,1890,2119,2770,2025,1285,852,458,125,21,1,140,-,-,-,-,-,-
26303,乙訓郡大山崎町,男,7385,348,378,379,382,326,379,461,529,613,485,444,386,412,531,480,383,262,145,30,5,-,27,-,-,-,-,-,-
26322,久世郡久御山町,男,7699,300,355,385,418,340,351,377,526,660,475,401,374,502,721,530,407,231,105,41,9,-,191,-,-,-,-,-,-
26343,綴喜郡井手町,男,3840,129,156,169,209,195,187,222,202,266,272,250,234,289,303,294,199,156,82,18,4,1,3,-,-,-,-,-,-
26344,綴喜郡宇治田原町,男,4647,170,209,230,259,284,247,271,249,321,324,301,295,361,374,287,210,158,72,19,3,1,2,-,-,-,-,-,-
26364,相楽郡笠置町,男,644,2,13,15,27,20,25,25,30,39,33,31,39,65,79,60,59,54,19,4,4,1,-,-,-,-,-,-,-
26365,相楽郡和束町,男,1846,38,48,79,67,54,73,66,92,103,89,119,137,170,238,164,149,95,51,13,1,-,-,-,-,-,-,-,-
26366,相楽郡精華町,男,17390,825,1005,1141,1170,876,632,799,1107,1469,1434,1235,1020,1087,1247,1017,683,380,205,50,5,1,2,-,-,-,-,-,-
26367,相楽郡南山城村,男,1256,25,27,41,54,29,45,37,55,74,63,61,96,155,123,143,87,76,41,10,1,-,13,-,-,-,-,-,-
26407,船井郡京丹波町,男,6817,173,214,289,345,237,203,267,341,389,384,427,472,594,700,541,449,405,255,98,19,5,10,-,-,-,-,-,-
26463,与謝郡伊根町,男,1006,30,27,31,37,27,36,44,40,43,43,63,68,130,101,70,67,76,51,17,4,1,-,-,-,-,-,-,-
26465,与謝郡与謝野町,男,10357,394,449,544,528,274,406,410,574,691,645,709,744,799,940,733,575,505,298,90,17,1,31,-,-,-,-,-,-
26000,京都府,女,1361381,47354,51168,54564,64262,72485,66489,72120,83073,99994,87800,79577,72258,83969,110061,89588,71413,59969,41197,21058,6584,1262,25136,-,-,-,-,-,-
26100,京都市,女,775435,25476,26137,27604,36457,48752,42518,43422,47530,56079,50361,45488,39394,44212,58909,49305,40225,33635,22597,11473,3615,679,21567,-,-,-,-,-,-
26101,京都市北区,女,62490,1731,2092,2209,3458,4673,2649,2723,3358,4177,4046,3836,3284,3572,4774,3948,3429,3043,2028,1102,353,55,1950,-,-,-,-,-,-
26102,京都市上京区,女,45901,1156,1269,1326,2378,4192,2536,2327,2617,2949,2665,2397,2222,2151,3050,2683,2412,2186,1460,778,213,45,2889,-,-,-,-,-,-
26103,京都市左京区,女,86928,2818,2899,2848,4273,6696,4563,4421,4967,5828,5305,4848,4418,4980,6572,5369,4503,4043,3000,1597,510,102,2368,-,-,-,-,-,-
26104,京都市中京区,女,58964,1828,1831,1805,2459,3842,4177,3934,4181,4452,4088,3589,2988,3042,3791,3361,2901,2509,1649,795,243,40,1459,-,-,-,-,-,-
26105,京都市東山区,女,22350,448,473,495,1258,2015,1172,1124,1157,1251,1195,1077,1036,1225,1751,1543,1394,1320,887,425,124,22,958,-,-,-,-,-,-
26110,京都市山科区,女,71198,2380,2391,2771,3301,3784,3451,3778,4193,5358,4726,3982,3445,4149,6188,5285,3836,3072,2090,1170,370,71,1407,-,-,-,-,-,-
26106,京都市下京区,女,44735,1380,1138,1185,1496,3165,3901,3765,3429,3399,2733,2388,1925,1991,2742,2266,2023,1835,1156,510,164,34,2110,-,-,-,-,-,-
26107,京都市南区,女,50202,2020,1802,1808,2147,2655,3280,3341,3294,3679,3348,3156,2583,2959,3705,3060,2601,2064,1310,592,173,41,584,-,-,-,-,-,-
26108,京都市右京区,女,107589,3629,3716,3998,4858,5980,5434,5831,6516,7911,7010,6630,5481,6138,8013,6997,5810,4584,3064,1628,498,73,3790,-,-,-,-,-,-
26111,京都市西京区,女,78864,3080,3080,3420,3834,3863,3851,4361,4851,6127,5519,4887,4461,4943,6408,5060,3693,2792,1892,813,278,58,1593,-,-,-,-,-,-
26109,京都市伏見区,女,146214,5006,5446,5739,6995,7887,7504,7817,8967,10948,9726,8698,7551,9062,11915,9733,7623,6187,4061,2063,689,138,2459,-,-,-,-,-,-
26201,福知山市,女,39779,1776,1721,1825,1695,1147,1698,2045,2316,2765,2366,2274,2337,2508,3211,2522,2149,2274,1825,853,249,52,171,-,-,-,-,-,-
26202,舞鶴市,女,42296,1746,1874,1921,1972,1315,1598,1949,2374,2962,2382,2323,2332,2692,3776,2964,2579,2282,1801,909,285,57,203,-,-,-,-,-,-
26203,綾部市,女,17624,533,649,699,662,413,598,682,892,1130,964,870,1032,1277,1591,1298,1275,1248,1023,540,169,34,45,-,-,-,-,-,-
26204,宇治市,女,95664,3321,3950,4372,4634,4334,4108,4568,6042,7645,6566,5734,5142,6353,8451,6681,4931,3693,2237,1077,276,53,1496,-,-,-,-,-,-
26205,宮津市,女,9700,254,307,341,342,172,281,320,399,532,491,551,635,735,926,762,795,776,610,324,114,31,2,-,-,-,-,-,-
26206,亀岡市,女,46212,1680,1943,2101,2375,2125,2040,2430,2784,3201,2924,2870,2972,3417,3965,2975,2098,1744,1259,617,188,34,470,-,-,-,-,-,-
26207,城陽市,女,39917,1293,1540,1704,1831,1661,1598,1956,2464,3044,2387,2130,2196,2981,4196,3346,2204,1586,1026,523,164,24,63,-,-,-,-,-,-
26208,向日市,女,27993,1097,1215,1328,1331,1139,1149,1445,1873,2485,1989,1616,1457,1729,2411,2010,1448,1064,656,353,100,21,77,-,-,-,-,-,-
26209,長岡京市,女,41301,1735,1888,1929,1888,1669,1880,2363,2837,3483,2960,2449,2091,2600,3350,2810,2051,1575,959,458,153,28,145,-,-,-,-,-,-
26210,八幡市,女,37452,1437,1527,1684,1646,1550,1576,1937,2363,2944,2439,2142,2144,2798,3645,2801,1873,1387,848,459,141,34,77,-,-,-,-,-,-
26211,京田辺市,女,36107,1540,1780,1851,2337,2606,1676,1828,2451,3021,2294,1968,1651,2113,2786,2162,1467,1129,686,421,107,26,207,-,-,-,-,-,-
26212,京丹後市,女,28701,927,1050,1315,1156,657,890,1122,1302,1718,1722,1771,1795,1986,2520,2157,1969,1906,1442,893,326,68,9,-,-,-,-,-,-
26213,南丹市,女,17088,515,573,613,838,844,628,725,813,898,954,972,1022,1186,1381,1127,1127,1129,938,486,170,20,129,-,-,-,-,-,-
26214,木津川市,女,38035,1795,2195,2094,1768,1522,1672,2251,2909,3200,2493,2194,2064,2519,2983,2047,1385,1185,898,444,146,23,248,-,-,-,-,-,-
26303,乙訓郡大山崎町,女,7796,324,369,340,351,297,341,482,528,638,510,449,397,485,626,572,444,316,195,96,21,6,9,-,-,-,-,-,-
26322,久世郡久御山町,女,8106,270,360,352,367,359,296,408,507,630,484,406,401,601,839,554,424,280,217,111,31,10,199,-,-,-,-,-,-
26343,綴喜郡井手町,女,4070,114,138,152,189,198,174,182,222,245,254,252,236,307,366,296,263,254,132,68,24,2,2,-,-,-,-,-,-
26344,綴喜郡宇治田原町,女,4672,158,182,247,244,213,183,222,233,308,341,316,310,350,407,295,221,227,122,69,23,-,1,-,-,-,-,-,-
26364,相楽郡笠置町,女,724,13,7,13,25,26,21,20,20,32,30,43,60,67,72,72,79,57,42,19,5,1,-,-,-,-,-,-,-
26365,相楽郡和束町,女,2110,40,56,67,59,65,69,73,79,113,89,141,141,223,239,173,161,149,101,55,14,3,-,-,-,-,-,-,-
26366,相楽郡精華町,女,18986,747,986,1126,1197,864,833,921,1204,1665,1577,1303,1117,1195,1400,1015,650,527,376,204,68,10,1,-,-,-,-,-,-
26367,相楽郡南山城村,女,1396,16,30,36,38,47,38,44,56,69,64,91,104,133,164,132,120,106,68,29,5,-,6,-,-,-,-,-,-
26407,船井郡京丹波町,女,7636,175,241,297,326,221,222,240,302,399,422,439,457,596,721,625,556,592,480,233,74,16,2,-,-,-,-,-,-
26463,与謝郡伊根町,女,1104,22,21,31,27,18,26,33,37,35,50,60,73,81,110,91,113,120,94,42,18,2,-,-,-,-,-,-,-
26465,与謝郡与謝野町,女,11477,350,429,522,507,271,376,452,536,753,687,725,698,825,1016,796,806,728,565,302,98,28,7,-,-,-,-,-,-
