大分類項目,中分類項目名,事業所数(事業所),民営事業所(事業所),民営事業所_個人(事業所),民営事業所_法人(事業所),民営事業所_会社(事業所),民営事業所_会社以外の法人(事業所),国(事業所),地方公共団体(事業所),従業者数(人),民営事業所(人),民営事業所_個人(人),民営事業所_法人(人),民営事業所_会社(人),民営事業所_会社以外の法人(人),国(人),地方公共団体(人),従業上の地位別_個人業主(人),従業上の地位別_無給の家族従業者(人),従業上の地位別_有給役員(人),従業上の地位別_正社員・正職員(人),従業上の地位別_正社員・正職員以外(人),従業上の地位別_臨時雇用者(人)
F_電気・ガス・熱供給・水道業,35_熱供給業,1,1,-,1,1,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,2,-
F_電気・ガス・熱供給・水道業,36_水道業,132,34,-,33,31,2,-,98,2682,493,-,490,489,1,-,2189,-,-,11,2381,238,52
G_情報通信業,合計,1044,1042,59,982,959,23,-,2,14592,14570,123,14445,14167,278,-,22,59,15,1239,10695,2237,347
G_情報通信業,37_通信業,80,80,-,80,79,1,-,-,1739,1739,-,1739,1719,20,-,-,-,-,61,1098,575,5
G_情報通信業,38_放送業,19,18,-,18,16,2,-,1,469,449,-,449,294,155,-,20,-,-,18,340,105,6
G_情報通信業,39_情報サービス業,500,499,18,481,472,9,-,1,8124,8122,31,8091,8057,34,-,2,18,5,643,6339,948,171
G_情報通信業,40_インターネット附随サービス業,108,108,7,101,100,1,-,-,772,772,11,761,743,18,-,-,7,2,118,503,114,28
G_情報通信業,41_映像・音声・文字情報制作業,337,337,34,302,292,10,-,-,3488,3488,81,3405,3354,51,-,-,34,8,399,2415,495,137
H_運輸業，郵便業,合計,2197,2157,447,1695,1630,65,-,40,60711,59019,665,58284,57655,629,-,1692,441,106,1642,40128,16299,2095
H_運輸業，郵便業,42_鉄道業,133,111,-,111,111,-,-,22,5714,5164,-,5164,5164,-,-,550,-,-,29,4987,636,62
H_運輸業，郵便業,43_道路旅客運送業,584,573,371,197,189,8,-,11,17404,16284,463,15813,15772,41,-,1120,368,80,223,13358,3132,243
