西暦,和暦,種別,総数(人),総数_男(人),総数_女(人),1学年_男(人),1学年_女(人),2学年_男(人),2学年_女(人),3学年_男(人),3学年_女(人)
2011年度,平成23年度,合計,72557,36571,35986,12232,12277,12078,11661,12261,12048
2012年度,平成24年度,合計,72382,36523,35859,12184,11870,12244,12298,12095,11691
2013年度,平成25年度,合計,72721,36597,36124,12140,11915,12191,11898,12266,12311
2014年度,平成26年度,合計,71783,36223,35560,11895,11733,12139,11916,12189,11911
2015年度,平成27年度,合計,70853,35801,35052,11726,11379,11908,11737,12167,11936
2015年度,平成27年度,国立,700,341,359,107,117,111,112,123,130
2015年度,平成27年度,公立,61596,31649,29947,10336,9692,10524,10075,10789,10180
2015年度,平成27年度,私立,8557,3811,4746,1283,1570,1273,1550,1255,1626
